"所得段階","保険料額[円]","説明","2015年度[人]","2016年度[人]","2017年度[人]"
"第1段階","29976","生活保護受給者、中国残留邦人等支援給付受給者又は老齢福祉年金受給者で住民税世帯非課税の人　本人及び世帯全員が住民税非課税で、合計所得＋公的年金収入が80万円以下の人※第1段階には保険料軽減者も含む","8153","8068","8022"
"第2段階","41217","本人及び世帯全員が住民税非課税で、合計所得＋公的年金収入が80万円を超え、120万円以下の人","2448","2571","2627"
"第3段階","48711","本人及び世帯全員が住民税非課税で、合計所得＋公的年金収入が120万円を超える人","2439","2462","2545"
"第4段階","59952","本人が住民税非課税で世帯内に住民税課税者がいる人で、合計所得＋公的年金収入が80万円以下の人","4719","4648","4594"
"第5段階","74940","本人が住民税非課税で世帯内に住民税課税者がいる人で、合計所得＋公的年金収入が80万円を超える人","2785","2947","2980"
"第6段階","78687","本人が住民税課税で、合計所得金額125万円未満の人","4466","4567","4789"
"第7段階","82434","本人が住民税課税で、合計所得金額125万円以上190万円未満の人","3866","3886","4067"
"第8段階","89928","本人が住民税課税で、合計所得金額190万円以上250万円未満の人","2619","2601","2669"
"第9段階","104916","本人が住民税課税で、合計所得金額250万円以上350万円未満の人","2586","2649","2701"
"第10段階","119904","本人が住民税課税で、合計所得金額350万円以上500万円未満の人","2298","2404","2386"
"第11段階","142386","本人が住民税課税で、合計所得金額500万円以上750万円未満の人","1931","2043","2034"
"第12段階","172362","本人が住民税課税で、合計所得金額750万円以上1,000万円未満の人","1069","1100","1069"
"第13段階","206085","本人が住民税課税で、合計所得金額1,000万円以上2,000万円未満の人","1931","1928","1831"
"第14段階","239808","本人が住民税課税で、合計所得金額2,000万円以上3,000万円未満の人","655","662","667"
"第15段階","273531","本人が住民税課税で、合計所得金額3,000万円以上の人","1220","1322","1295"
"合計",,,"43185","43858","44276"

"令和元年度港区行政資料集　介護保険 所得段階別被保険者数（65歳以上）-2","Ver201903",,,,
