規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,1173993,1414736,730671,449002,531822,296491,411381,37621,724991,882914,434180
100～499人,806232,974232,514581,354756,419805,241830,325493,29263,451476,554427,272751
100人以上,977807,1182066,613365,398725,472656,266818,365563,33162,579082,709410,346547
30～99人,616212,748035,421001,296634,353775,212017,274105,22529,319578,394260,208984
５～29人,419877,537934,282042,253130,319737,175365,241209,11921,166747,218197,106677
30人以上,855951,1042603,543491,364321,434457,246912,334742,29579,491630,608146,296579
５人以上,723734,905131,452167,330608,403207,221921,306383,24225,393126,501924,230246
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年１２月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
