規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.8,165.1,148.3,16.8,14.7,93.3,88.5,4.8
100～499人,20,169.5,152.3,17.2,15,93.5,89.4,4.1
100人以上,19.9,167.4,150.4,17,14.9,93.5,89.1,4.4
30～99人,20.3,172.8,156.6,16.2,15.3,90,87.4,2.6
５～29人,21.2,174.2,163.1,11.1,13.8,83.4,81.4,2
30人以上,20.1,169,152.3,16.7,15.1,91.9,88.3,3.6
５人以上,20.3,170.4,155.1,15.3,14.5,88,85.1,2.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年４月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
