規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.3,18.7,17.6,148.5,154.7,136.8,134.3,138.7,126.1,14.2,16,10.7
100～499人,18.4,18.9,17.5,149.6,159.6,132.3,135.1,141.9,123.2,14.5,17.7,9.1
100人以上,18.3,18.8,17.5,149.1,157.3,134.3,134.7,140.4,124.5,14.4,16.9,9.8
30～99人,18.5,19.2,17.5,147.3,161.2,126.9,133.9,143.4,119.9,13.4,17.8,7
５～29人,18,19.3,16.5,137.5,155.7,116.4,129.2,144.6,111.3,8.3,11.1,5.1
30人以上,18.4,18.9,17.5,148.4,158.6,131.7,134.4,141.4,122.9,14,17.2,8.8
５人以上,18.3,19,17.1,145.2,157.7,126.3,132.9,142.2,118.8,12.3,15.5,7.5
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年１２月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
