規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,488216,570716,327446,454063,529935,306210,416685,37378,34153,40781,21236
100～499人,380544,454369,262892,361414,428783,254050,334868,26546,19130,25586,8842
100人以上,427263,506942,288887,401614,474490,275054,370368,31246,25649,32452,13833
30～99人,320030,396230,209313,311031,383566,205638,292732,18299,8999,12664,3675
５～29人,259983,329837,177372,249116,314853,171374,238647,10469,10867,14984,5998
30人以上,388574,468739,258140,368932,443115,248232,342358,26574,19642,25624,9908
５人以上,347630,428441,229071,330782,405904,220570,309336,21446,16848,22537,8501
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年１月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
