事業所規模,和暦年,西暦年,年平均・月,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
５～29人,平成18,2006,年平均,318621,390200,218327,273498,333397,189570,262175,11323,45123,56803,28757
５～29人,平成19,2007,年平均,311198,390251,205738,264419,329283,177887,253796,10623,46779,60968,27851
５～29人,平成20,2008,年平均,300370,379948,202860,259287,326393,177059,248181,11106,41083,53555,25801
５～29人,平成21,2009,年平均,291834,370510,195722,255708,322866,173667,244765,10943,36126,47644,22055
５～29人,平成22,2010,年平均,296105,369455,200921,258004,320203,177290,247129,10875,38101,49252,23631
５～29人,平成23,2011,年平均,284580,353787,196257,251685,312094,174591,241016,10669,32895,41693,21666
５～29人,平成24,2012,年平均,285274,360210,195443,253359,318590,175162,241882,11477,31915,41620,20281
５～29人,平成24,2012,1月,261784,331069,178896,250802,315980,172826,239805,10997,10982,15089,6070
５～29人,平成24,2012,2月,254659,320170,175347,252603,317724,173763,240806,11797,2056,2446,1584
５～29人,平成24,2012,3月,262616,330524,179973,253315,318685,173761,241109,12206,9301,11839,6212
５～29人,平成24,2012,4月,264658,333512,181316,257359,323238,177619,245297,12062,7299,10274,3697
５～29人,平成24,2012,5月,264425,332447,180941,254457,319166,175038,242948,11509,9968,13281,5903
５～29人,平成24,2012,6月,334449,422039,227548,255730,320510,176667,244270,11460,78719,101529,50881
５～29人,平成24,2012,7月,321635,407276,218521,254447,319217,176462,243489,10958,67188,88059,42059
５～29人,平成24,2012,8月,267811,337754,184969,251793,316420,175247,240828,10965,16018,21334,9722
５～29人,平成24,2012,9月,254661,320293,176537,251602,316457,174404,240819,10783,3059,3836,2133
５～29人,平成24,2012,10月,256049,322472,177686,252413,318157,174852,241084,11329,3636,4315,2834
５～29人,平成24,2012,11月,260129,327868,180271,252677,317755,175956,240931,11746,7452,10113,4315
５～29人,平成24,2012,12月,419877,537934,282042,253130,319737,175365,241209,11921,166747,218197,106677
30～99人,平成18,2006,年平均,407296,494973,273071,325373,394378,219734,303436,21937,81923,100595,53337
30～99人,平成19,2007,年平均,425608,509899,279802,336918,399631,228439,316945,19973,88690,110268,51363
30～99人,平成20,2008,年平均,445663,526904,293033,350434,411503,235702,331064,19370,95229,115401,57331
30～99人,平成21,2009,年平均,384180,468406,260375,315226,382656,216110,297801,17425,68954,85750,44265
30～99人,平成22,2010,年平均,381190,467914,257432,313958,382141,216658,296186,17772,67232,85773,40774
