規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,499217,480881,441143,39738,18336,131462,130158,122876,7282,1304
100～499人,412977,399955,369316,30639,13022,121579,120024,114435,5589,1555
100人以上,454601,439014,403983,35031,15587,125094,123628,117437,6191,1466
30～99人,367268,355759,330295,25464,11509,109460,109070,105336,3734,390
５～29人,361057,336718,321049,15669,24339,95330,94704,92442,2262,626
30人以上,427355,413040,380994,32046,14315,117951,116977,111908,5069,974
５人以上,410509,393647,365762,27885,16862,107471,106658,102890,3768,813
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年８月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
