規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,514724,479194,438033,41161,35530,138988,137773,129997,7776,1215
100～499人,415123,399896,367762,32134,15227,119186,118198,112474,5724,988
100人以上,462837,437884,401426,36458,24953,126380,125309,118839,6470,1071
30～99人,362787,352505,327169,25336,10282,107788,107571,104602,2969,217
５～29人,351873,336871,320516,16355,15002,94678,94481,92380,2101,197
30人以上,431610,411236,378249,32987,20374,117828,117150,112291,4859,678
５人以上,411300,392294,363543,28751,19006,107255,106796,103196,3600,459
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年５月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
