規模,産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,調査産業計,19,19.7,17.9,150,162.9,130.7,138.1,147.9,123.5,11.9,15,7.2
５人以上,"鉱業,採石業,砂利採取業",20.3,20.4,19.9,166,168.2,156.3,149.4,150.6,144.1,16.6,17.6,12.2
５人以上,建設業,20.9,21.1,19.4,178.1,182.1,157.9,156.8,158.7,147,21.3,23.4,10.9
５人以上,製造業,19.4,19.6,18.6,160.7,165.1,147.6,147.8,151,138.3,12.9,14.1,9.3
５人以上,電気・ガス・熱供給・水道業,20.6,20.7,20.1,175.7,177.7,161.3,156.9,157.8,150.4,18.8,19.9,10.9
５人以上,情報通信業,20,20.4,19.1,173.1,177.4,160.1,153,156,143.9,20.1,21.4,16.2
５人以上,"運輸業,郵便業",19.4,19.6,18.4,167.5,173.9,137.1,148.7,153.1,127.7,18.8,20.8,9.4
５人以上,"卸売業,小売業",19,19.8,18.1,144.1,156.8,128.3,136.7,147.5,123.3,7.4,9.3,5
５人以上,"金融業,保険業",20,20.6,19.4,162.3,170.9,152.5,146,152.5,138.7,16.3,18.4,13.8
５人以上,"不動産業,物品賃貸業",19.3,19.9,18.2,147.7,155.8,133.2,138.9,145.9,126.2,8.8,9.9,7
５人以上,"学術研究,専門・技術サービス業",20.3,20.6,19.5,169.9,174.9,158.3,150.7,154.2,142.7,19.2,20.7,15.6
５人以上,"宿泊業,飲食サービス業",16.4,17.7,15.2,115.4,139.6,95.8,109,129.4,92.4,6.4,10.2,3.4
５人以上,"生活関連サービス業,娯楽業",18.9,19.7,18,146.9,158.2,134.9,140.1,149.8,129.9,6.8,8.4,5
５人以上,"教育,学習支援業",17.4,17.4,17.3,122.5,123.9,121,118.7,120.8,116.4,3.8,3.1,4.6
５人以上,"医療,福祉",17.4,17.5,17.3,128.8,136.6,125.8,123.5,129.3,121.3,5.3,7.3,4.5
５人以上,複合サービス事業,18.9,19.6,18.1,145.1,157,132.4,136.4,146.7,125.5,8.7,10.3,6.9
５人以上,サービス業（他に分類されないもの）,19.1,19.8,18.1,148.5,164.6,128.3,135.5,147.2,120.8,13,17.4,7.5
30人以上,調査産業計,19.3,19.8,18.4,154.8,165.5,137,141.2,148.9,128.5,13.6,16.6,8.5
30人以上,"鉱業,採石業,砂利採取業",20.3,20.4,19.9,166,168.2,156.3,149.4,150.6,144.1,16.6,17.6,12.2
30人以上,建設業,20.7,21,19.3,182.2,184.4,168.1,155.9,156.7,151,26.3,27.7,17.1
30人以上,製造業,19.2,19.4,18.6,160.9,164,150.6,146.8,149,139.4,14.1,15,11.2
30人以上,電気・ガス・熱供給・水道業,20.7,20.7,20.5,176.3,177.9,164.6,157.6,158.3,152.8,18.7,19.6,11.8
30人以上,情報通信業,20.1,20.4,19.3,175.6,179.4,163.4,154.2,156.8,145.8,21.4,22.6,17.6
30人以上,"運輸業,郵便業",19.2,19.4,18.4,169.5,174.8,141.9,149.8,153.3,131.4,19.7,21.5,10.5
30人以上,"卸売業,小売業",19.5,20.1,18.7,148.6,160.7,132.6,140.3,150.2,127.3,8.3,10.5,5.3
30人以上,"金融業,保険業",20,20.6,19.3,161.8,170.2,152.1,145.2,151.5,137.9,16.6,18.7,14.2
30人以上,"不動産業,物品賃貸業",19.3,19.7,18.6,148.4,154.9,136.2,137,142.2,127.2,11.4,12.7,9
30人以上,"学術研究,専門・技術サービス業",20.4,20.6,19.7,172.3,175.7,162.1,151.7,154,144.8,20.6,21.7,17.3
30人以上,"宿泊業,飲食サービス業",18.3,19.2,17.6,132.1,150.2,117.9,124.2,139.1,112.5,7.9,11.1,5.4
30人以上,"生活関連サービス業,娯楽業",18.3,19.2,17.4,143.5,154.6,131.4,135.1,144.9,124.4,8.4,9.7,7
30人以上,"教育,学習支援業",17.7,17.9,17.5,125.6,128.6,121.8,121.7,125.6,116.9,3.9,3,4.9
30人以上,"医療,福祉",17.9,17.8,17.9,135.8,140.2,133.9,129.9,132.3,128.9,5.9,7.9,5
30人以上,複合サービス事業,19.9,20.6,19,146.2,162.8,120.2,134.6,147.7,114,11.6,15.1,6.2
30人以上,サービス業（他に分類されないもの）,19,19.8,18,145.6,163,125.8,132.4,144.8,118.3,13.2,18.2,7.5
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年１０月分,,,,,,,,,,,,,
第２表  産業、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,,
