規模,産業,１人平均支給額（円）,前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,前年支給月数差（か月）
30人以上,調査産業計,574802,-6.6,89.4,92.8,1.35,-0.08
30人以上,"鉱業,採石業,砂利採取業",1373068,-1,100,100,3.28,0.53
30人以上,建設業,522033,-24.8,88.4,97.2,1.14,-0.75
30人以上,製造業,677523,-23.1,93.2,91.4,1.42,0.03
30人以上,電気・ガス・熱供給・水道業,1048996,49.5,85.7,77.4,2.56,0.39
30人以上,情報通信業,753709,-6.3,87.6,89.2,1.57,-0.06
30人以上,運輸業，郵便業,539823,23.3,94.4,96.3,1.43,0.1
30人以上,卸売業，小売業,525334,-7.9,89.9,93.9,1.23,-0.19
30人以上,"金融業,保険業",919915,7.5,99.4,100,1.75,-0.37
30人以上,不動産業，物品賃貸業,538731,-0.6,87.5,93.1,1.47,0.04
30人以上,学術研究，専門・技術サービス業,650088,0.9,92.3,98.4,1.58,0.22
30人以上,宿泊業，飲食サービス業,164671,23.8,76.2,84.3,0.54,0.07
30人以上,生活関連サービス業，娯楽業,354730,33.9,82.3,88,1.06,0.04
30人以上,教育，学習支援業,714231,-8.6,93.9,98,1.85,-0.25
30人以上,医療，福祉,454018,-5.1,100,100,1.3,-0.12
30人以上,複合サービス事業,429772,3.5,100,100,1.47,0.07
30人以上,サービス業（他に分類されないもの）,294608,-26,80.8,84.7,1.2,-0.3
30～99人,調査産業計,388778,-8.6,87.9,90.7,1.28,-0.1
30～99人,"鉱業,採石業,砂利採取業",Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30～99人,建設業,463047,-39,85.7,93.2,1.09,-0.93
30～99人,製造業,424047,-2,92.3,93.1,1.16,-0.03
30～99人,電気・ガス・熱供給・水道業,809203,-24.7,75,46.3,2.26,-0.26
30～99人,情報通信業,522270,7.3,84.6,90.3,1.54,-0.02
30～99人,運輸業，郵便業,487719,22.4,93.4,94.3,1.45,0.13
30～99人,卸売業，小売業,337845,-3,88.3,89.7,1.15,-0.19
30～99人,"金融業,保険業",540968,-30.7,100,100,1.64,-0.5
30～99人,不動産業，物品賃貸業,358563,-5.7,85.8,90.5,1.38,0.06
30～99人,学術研究，専門・技術サービス業,366243,-19.1,91.3,96.9,1.54,0.25
30～99人,宿泊業，飲食サービス業,133536,20.8,73.9,82.2,0.47,0.02
30～99人,生活関連サービス業，娯楽業,195501,-22.4,80,83.2,1.03,-0.01
30～99人,教育，学習支援業,691687,-17.6,93.3,96.8,1.78,-0.33
30～99人,医療，福祉,299025,-4.7,100,100,1.25,-0.11
30～99人,複合サービス事業,391262,14.9,100,100,1.47,0.08
30～99人,サービス業（他に分類されないもの）,321552,-10.4,79.8,83.2,1.31,-0.19
100～499人,調査産業計,493446,-15.1,93.7,95.8,1.46,-0.08
100～499人,"鉱業,採石業,砂利採取業",1150422,-19.8,100,100,2.48,-0.09
100～499人,建設業,435143,-21.4,100,100,1.3,-0.05
100～499人,製造業,482404,-35.9,94.7,96.7,1.87,0.21
100～499人,電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,情報通信業,591402,-13.5,93.2,97.2,1.54,-0.1
100～499人,運輸業，郵便業,501529,27.8,96.8,97.1,1.34,0.03
100～499人,卸売業，小売業,450504,-23.2,94.7,95.2,1.41,-0.17
100～499人,"金融業,保険業",937770,13.2,96.9,99.9,2.04,-0.03
