規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,20,165.7,150.3,15.4,14.9,92.4,88,4.4
100～499人,20.1,168.2,151.8,16.4,15.1,93.2,89.1,4.1
100人以上,20.1,166.9,151,15.9,15.1,92.9,88.7,4.2
30～99人,20.3,171.7,156.3,15.4,15.4,88.9,86.7,2.2
５～29人,20.6,169.2,158,11.2,13.9,82.5,80.5,2
30人以上,20.1,168.5,152.7,15.8,15.2,91.1,87.8,3.3
５人以上,20.2,168.6,154,14.6,14.6,87.1,84.4,2.7
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年１０月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
