規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,20.1,165.4,149.9,15.5,15,93.2,89.1,4.1
100～499人,20.2,169.4,153.5,15.9,15.1,94.2,90.3,3.9
100人以上,20.2,167.5,151.8,15.7,15.1,93.9,89.9,4
30～99人,21,176.8,161,15.8,16,91.6,89.2,2.4
５～29人,21.4,175.8,164.9,10.9,14.1,84.6,82.5,2.1
30人以上,20.4,170.3,154.6,15.7,15.5,92.9,89.6,3.3
５人以上,20.7,171.8,157.3,14.5,14.8,89,86.3,2.7
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年６月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
