規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,20,165.3,150,15.3,14.8,92,87.8,4.2
100～499人,20.1,168.2,152.4,15.8,15.1,95.1,91.2,3.9
100人以上,20.1,166.8,151.3,15.5,15,93.9,89.9,4
30～99人,20.2,170.7,155,15.7,15.7,91.1,88.4,2.7
５～29人,21,172,161.2,10.8,14,83.4,81.3,2.1
30人以上,20.1,168,152.4,15.6,15.3,92.6,89.2,3.4
５人以上,20.3,169.1,154.7,14.4,14.7,88.4,85.6,2.8
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年７月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
