規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.7,161.6,146.6,15,14.6,91.7,87.6,4.1
100～499人,19.6,164,148.7,15.3,15,92.7,89.2,3.5
100人以上,19.7,162.9,147.7,15.2,14.8,92.3,88.6,3.7
30～99人,19.6,166.4,151.1,15.3,15.2,88.1,85.5,2.6
５～29人,20,164.7,154.3,10.4,13.8,83.2,81.1,2.1
30人以上,19.6,163.9,148.7,15.2,15,90.4,87.2,3.2
５人以上,19.7,164.1,150.1,14,14.4,87.1,84.4,2.7
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年８月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
