規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19.3,19.8,18.6,157.5,163.9,145.6,142.2,146.8,133.5,15.3,17.1,12.1
100～499人,19.1,19.7,18.2,155.4,165.4,137.8,140.6,147.5,128.5,14.8,17.9,9.3
100人以上,19.2,19.7,18.4,156.3,164.7,141.3,141.3,147.2,130.7,15,17.5,10.6
30～99人,19.1,19.8,18,152.9,167.4,131.9,139.5,149.9,124.5,13.4,17.5,7.4
５～29人,18.1,19.3,16.7,139.5,156.2,119.2,131.3,145,114.6,8.2,11.2,4.6
30人以上,19.2,19.7,18.2,155.2,165.5,137.8,140.7,148,128.4,14.5,17.5,9.4
５人以上,18.9,19.6,17.7,150.4,163,131.4,137.8,147.2,123.7,12.6,15.8,7.7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年３月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
