産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.42,1.48,1.31,1.31
"鉱業,採石業,砂利採取業",1.04,1.53,1.04,1.53
建設業,1.11,0.93,1.24,0.71
製造業,1.2,1.11,1.25,1.08
電気・ガス・熱供給・水道業,0.52,0.37,0.5,0.4
情報通信業,0.59,0.76,0.56,0.68
"運輸業,郵便業",1.09,1.07,1.12,0.91
"卸売業,小売業",1.43,1.44,0.94,1.14
"金融業,保険業",0.68,1.1,0.74,1.04
"不動産業,物品賃貸業",0.88,0.99,1.19,1.02
"学術研究,専門・技術サービス業",1.65,1.16,1.68,1.37
"宿泊業,飲食サービス業",3.18,2.91,3.91,1.7
"生活関連サービス業,娯楽業",1.02,1.62,0.89,1.22
"教育,学習支援業",1.83,2.15,1.97,2.2
"医療,福祉",1.42,1.21,1.23,1.13
複合サービス事業,0.45,0.67,0.41,0.78
サービス業（他に分類されないもの）,1.73,2.27,1.85,2.67
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年１２月分,,,,
第４表  産業別労働異動率,,,,
