規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,526130,488209,447768,40441,37921,155731,154624,144109,10515,1107
100～499人,426317,404001,373841,30160,22316,112824,112327,106923,5404,497
100人以上,470852,441573,406826,34747,29279,127821,127111,119921,7190,710
30～99人,390521,378698,355887,22811,11823,101252,101016,96721,4295,236
５～29人,353228,336678,321576,15102,16550,91591,90988,88886,2102,603
30人以上,444469,420923,390096,30827,23546,114011,113547,107862,5685,464
５人以上,420225,398538,371889,26649,21687,102890,102357,98449,3908,533
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年１月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
