規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,1138157,482820,442770,40050,655337,144217,130221,122597,7624,13996
100～499人,802268,402378,368894,33484,399890,131706,121112,115480,5632,10594
100人以上,963966,441103,404458,36645,522863,136150,124347,118008,6339,11803
30～99人,617293,357923,331585,26338,259370,115972,109841,106939,2902,6131
５～29人,456096,338640,322397,16243,117456,100126,96024,93777,2247,4102
30人以上,855312,415033,381618,33415,440279,127048,117804,113015,4789,9244
５人以上,753484,395547,366512,29035,357937,114758,107861,104233,3628,6897
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年６月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
