規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.2,152.9,136.8,16.1,14.3,94.1,90.3,3.8
100～499人,18.2,152.5,137.5,15,14.3,89.5,86.2,3.3
100人以上,18.2,152.7,137.2,15.5,14.3,91.1,87.6,3.5
30～99人,18.2,152.8,139.4,13.4,13.7,81.8,76.9,4.9
５～29人,18.4,152.3,142.2,10.1,13.2,80.4,78.4,2
30人以上,18.2,152.7,137.9,14.8,14,86.3,82.1,4.2
５人以上,18.2,152.6,139,13.6,13.6,83.3,80.2,3.1
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年１月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
