規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.4,161.5,145.7,15.8,14.4,90.1,86.3,3.8
100～499人,19.9,166.6,150,16.6,14.3,89.2,85.4,3.8
100人以上,19.7,164.2,148,16.2,14.4,89.5,85.7,3.8
30～99人,20.4,173.3,157.8,15.5,15.6,91.7,88.5,3.2
５～29人,20.8,171.4,160.7,10.7,13.7,82.4,80.6,1.8
30人以上,19.9,167.1,151.1,16,14.9,90.5,87,3.5
５人以上,20.1,168.2,153.5,14.7,14.4,86.8,84.1,2.7
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年２月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
