事業所規模,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５～29人,平成18,2006,年平均,18.9,19.8,17.6,145.6,160,125.4,137.5,149.3,121,8.1,10.7,4.4
５～29人,平成19,2007,年平均,18.4,19.5,17,141.1,156.6,120.4,133.8,146.7,116.6,7.3,9.9,3.8
５～29人,平成20,2008,年平均,18.3,19.4,16.9,138.7,155.5,118.2,131.1,145.3,113.8,7.6,10.2,4.4
５～29人,平成21,2009,年平均,18.1,19.1,16.7,137,153.8,116.5,129.4,143.7,112,7.6,10.1,4.5
５～29人,平成22,2010,年平均,18.3,19.4,16.9,139.9,156,119.1,132.3,146,114.6,7.6,10,4.5
５～29人,平成23,2011,年平均,18.1,19.2,16.7,138.4,154.4,118,131,144.4,113.9,7.4,10,4.1
５～29人,平成24,2012,年平均,18.1,19.3,16.8,138.9,155.5,119,131,144.8,114.4,7.9,10.7,4.6
５～29人,平成24,2012,1月,16.6,17.5,15.5,127.3,141.2,110.8,119.9,131.2,106.4,7.4,10,4.4
５～29人,平成24,2012,2月,18.4,19.5,17,140.9,157.7,120.6,133.2,147.1,116.4,7.7,10.6,4.2
５～29人,平成24,2012,3月,18.1,19.3,16.7,139.5,156.2,119.2,131.3,145,114.6,8.2,11.2,4.6
５～29人,平成24,2012,4月,18.6,19.7,17.3,143,159.5,122.9,135,148.7,118.4,8,10.8,4.5
５～29人,平成24,2012,5月,17.7,18.6,16.5,135.8,150.4,117.8,128,139.8,113.5,7.8,10.6,4.3
５～29人,平成24,2012,6月,18.9,20.1,17.5,144.6,161.9,123.6,136.7,151.1,119.2,7.9,10.8,4.4
５～29人,平成24,2012,7月,18.6,19.7,17.2,141.5,158.7,120.8,133.7,148.1,116.3,7.8,10.6,4.5
５～29人,平成24,2012,8月,17.8,18.9,16.5,136.1,152.7,116.5,128.6,142.4,112.3,7.5,10.3,4.2
５～29人,平成24,2012,9月,18.1,19.2,16.8,138.2,155.2,118,130.4,144.7,113.3,7.8,10.5,4.7
５～29人,平成24,2012,10月,18.2,19.4,16.9,138.9,155.8,118.8,130.9,145.1,114.1,8,10.7,4.7
５～29人,平成24,2012,11月,18.7,20,17.3,143,160.9,122,134.6,149.7,116.9,8.4,11.2,5.1
５～29人,平成24,2012,12月,18,19.3,16.5,137.5,155.7,116.4,129.2,144.6,111.3,8.3,11.1,5.1
30～99人,平成18,2006,年平均,18.6,19.4,17.4,146.9,159.7,127.2,135.2,145.4,119.6,11.7,14.3,7.6
30～99人,平成19,2007,年平均,19.1,19.7,18,151.9,163.3,132.1,139.5,148.1,124.6,12.4,15.2,7.5
30～99人,平成20,2008,年平均,18.9,19.4,18,151.1,160.8,133.1,139.5,146.9,125.7,11.6,13.9,7.4
