規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19.2,19.6,18.5,157.3,163.6,145.5,141.8,146.4,133.3,15.5,17.2,12.2
100～499人,19.2,19.7,18.4,156.6,166.8,139.1,141.6,148.8,129.4,15,18,9.7
100人以上,19.2,19.6,18.4,156.9,165.2,142,141.7,147.6,131.1,15.2,17.6,10.9
30～99人,19.1,19.9,18.1,153.2,167.3,132.9,140.2,150.3,125.6,13,17,7.3
５～29人,18.6,19.7,17.3,143,159.5,122.9,135,148.7,118.4,8,10.8,4.5
30人以上,19.2,19.7,18.3,155.7,165.9,138.6,141.2,148.5,129.1,14.5,17.4,9.5
５人以上,19,19.7,18,151.8,164.1,133.2,139.3,148.5,125.4,12.5,15.6,7.8
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年４月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
