規模,産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,調査産業計,18.8,19.6,17.7,149.8,162,131.1,137.8,147,123.8,12,15,7.3
５人以上,"鉱業,採石業,砂利採取業",19.9,20,19.4,163.3,165.4,153.8,148.2,149.6,141.7,15.1,15.8,12.1
５人以上,建設業,21.1,21.4,19.5,177.9,181.9,156.3,158.8,160.8,148,19.1,21.1,8.3
５人以上,製造業,19.7,20,18.9,163.9,168.5,149.7,150.7,154,140.5,13.2,14.5,9.2
５人以上,電気・ガス・熱供給・水道業,19.9,20.1,18.6,171.3,174.6,149.9,151.7,153.6,139.2,19.6,21,10.7
５人以上,情報通信業,19.5,19.8,18.6,169.7,173.2,158.9,149.1,151.4,141.9,20.6,21.8,17
５人以上,"運輸業,郵便業",19.6,19.9,18.6,166,172.4,135.6,148.5,153.2,126.1,17.5,19.2,9.5
５人以上,"卸売業,小売業",19,19.6,18.3,145.3,156.5,131.2,138,147.3,126.3,7.3,9.2,4.9
５人以上,"金融業,保険業",19.2,19.8,18.4,155.4,163.6,145.2,140.2,146.7,132.2,15.2,16.9,13
５人以上,"不動産業,物品賃貸業",19.3,19.8,18.3,147.7,157,131.1,137.9,145.7,124,9.8,11.3,7.1
５人以上,"学術研究,専門・技術サービス業",20.7,21.1,19.8,174.8,179.6,163.8,153.8,156.7,147,21,22.9,16.8
５人以上,"宿泊業,飲食サービス業",15.9,17.3,14.9,111.8,135.4,93.2,105.5,125.1,90,6.3,10.3,3.2
５人以上,"生活関連サービス業,娯楽業",19.1,20,18.1,153.1,164.2,141.3,143.5,152.6,133.8,9.6,11.6,7.5
５人以上,"教育,学習支援業",17,16.9,17.1,120.4,119.2,121.7,116.6,116.2,117,3.8,3,4.7
５人以上,"医療,福祉",17.2,17.4,17.2,130.6,137,128.2,125.1,129.6,123.4,5.5,7.4,4.8
５人以上,複合サービス事業,18.3,18.7,18,136,149,122.8,128.7,139.7,117.4,7.3,9.3,5.4
５人以上,サービス業（他に分類されないもの）,18.7,19.5,17.6,148.4,163.6,128.5,134.6,145.5,120.3,13.8,18.1,8.2
30人以上,調査産業計,19,19.6,18.1,153.6,163.7,136.7,139.8,147,127.7,13.8,16.7,9
30人以上,"鉱業,採石業,砂利採取業",19.9,20,19.4,163.3,165.4,153.8,148.2,149.6,141.7,15.1,15.8,12.1
30人以上,建設業,20.9,21.1,19.6,180.7,183.2,164.6,156.6,157.4,151.3,24.1,25.8,13.3
30人以上,製造業,19.5,19.7,18.8,163.5,167.2,151.4,148.9,151.4,140.5,14.6,15.8,10.9
30人以上,電気・ガス・熱供給・水道業,19.8,20,18.7,169.9,172.5,151.4,151,152.5,140,18.9,20,11.4
30人以上,情報通信業,19.5,19.7,18.6,170.2,173.4,159.9,148.8,151,141.6,21.4,22.4,18.3
30人以上,"運輸業,郵便業",19.5,19.6,18.6,167.2,172.7,138.9,148.9,152.9,128.3,18.3,19.8,10.6
30人以上,"卸売業,小売業",19.4,19.9,18.8,149.6,160.6,135.3,141,149.7,129.7,8.6,10.9,5.6
30人以上,"金融業,保険業",19.2,19.8,18.4,155.4,163.2,145.9,139.6,145.7,132,15.8,17.5,13.9
30人以上,"不動産業,物品賃貸業",19.3,19.6,18.6,148.8,155.1,136.3,136.9,142.1,126.5,11.9,13,9.8
30人以上,"学術研究,専門・技術サービス業",20.7,20.9,19.9,176.7,179.4,168.5,152.8,154.5,147.7,23.9,24.9,20.8
30人以上,"宿泊業,飲食サービス業",17.8,18.9,17,127.6,148,112.7,119.4,136.2,107.1,8.2,11.8,5.6
30人以上,"生活関連サービス業,娯楽業",17.8,18.7,16.8,142.6,155,130.1,130.1,141.1,119,12.5,13.9,11.1
30人以上,"教育,学習支援業",17.2,17.1,17.3,121.9,120.9,123,117.6,117.7,117.4,4.3,3.2,5.6
30人以上,"医療,福祉",17.4,17.2,17.4,135.6,137.6,134.8,129.3,129.4,129.3,6.3,8.2,5.5
30人以上,複合サービス事業,18.5,19.4,17,135.4,153.6,106,124.8,139.8,100.7,10.6,13.8,5.3
30人以上,サービス業（他に分類されないもの）,18.6,19.4,17.5,145.6,162.3,126.3,131.8,143.5,118.3,13.8,18.8,8
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年２月分,,,,,,,,,,,,,
第２表  産業、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,,
