規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,496311,482904,443124,39780,13407,129751,128159,120770,7389,1592
100～499人,407359,398327,365970,32357,9032,118721,117307,111675,5632,1414
100人以上,449903,438779,402872,35907,11124,122758,121279,115004,6275,1479
30～99人,368252,356692,331333,25359,11560,102837,102201,98898,3303,636
５～29人,353378,336788,321201,15587,16590,92088,91495,89001,2494,593
30人以上,424388,413127,380516,32611,11261,113667,112573,107654,4919,1094
５人以上,406304,393686,365410,28276,12618,103689,102827,99029,3798,862
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年１月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
