規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.6,154,139.8,14.2,14,88.4,84.6,3.8
100～499人,19,159.2,144.1,15.1,14.6,91.2,87.5,3.7
100人以上,18.8,156.8,142.1,14.7,14.4,90.1,86.4,3.7
30～99人,19.6,167.3,152,15.3,15.4,88.9,86.8,2.1
５～29人,20.4,168.3,157.3,11,13.8,82.1,80.1,2
30人以上,19.1,160.1,145.2,14.9,14.8,89.6,86.6,3
５人以上,19.4,162.2,148.3,13.9,14.4,86.1,83.6,2.5
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年９月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
