規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,1306701,490841,449379,41462,815860,142379,123762,116001,7761,18617
100～499人,952392,406000,371848,34152,546392,140801,121454,114449,7005,19347
100人以上,1124545,447223,409519,37704,677322,141363,122276,115002,7274,19087
30～99人,772866,356498,328029,28469,416368,125373,109066,105149,3917,16307
５～29人,593327,340104,323183,16921,253223,101150,93310,90578,2732,7840
30人以上,1014918,418942,384117,34825,595976,134140,116309,110551,5758,17831
５人以上,907048,398770,368526,30244,508278,118986,105744,101376,4368,13242
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年１２月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
