産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.57,1.61,1.29,1.57
"鉱業,採石業,砂利採取業",0.82,1.2,0.82,1.2
建設業,0.59,1.19,0.47,1.46
製造業,0.62,0.89,0.6,0.85
電気・ガス・熱供給・水道業,0.33,0.48,0.33,0.53
情報通信業,0.73,0.93,0.67,1.02
"運輸業,郵便業",1.44,1.57,1.25,1.58
"卸売業,小売業",1.55,1.93,0.91,1.93
"金融業,保険業",1.03,1.13,0.98,1.18
"不動産業,物品賃貸業",1.28,1.37,0.99,1.27
"学術研究,専門・技術サービス業",1.82,1.02,1.81,1.21
"宿泊業,飲食サービス業",3.07,2.74,2.26,1.88
"生活関連サービス業,娯楽業",2.26,1.5,1.14,1.24
"教育,学習支援業",2.58,2.02,2.72,2.1
"医療,福祉",1.63,1.38,1.26,1.23
複合サービス事業,0.58,0.88,1.1,1.89
サービス業（他に分類されないもの）,2.18,2.28,2.48,2.66
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年１１月分,,,,
第４表  産業別労働異動率,,,,
