規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19.6,19.9,19,157.4,163.7,145.3,143.2,147.7,134.6,14.2,16,10.7
100～499人,19.4,19.8,18.5,156.3,166.1,139.4,142.5,149.3,130.8,13.8,16.8,8.6
100人以上,19.4,19.8,18.7,156.8,165,142,142.8,148.6,132.5,14,16.4,9.5
30～99人,19.8,20.5,18.8,156.8,171,136.1,144.2,154.4,129.3,12.6,16.6,6.8
５～29人,18.9,20.1,17.5,144.6,161.9,123.6,136.7,151.1,119.2,7.9,10.8,4.4
30人以上,19.6,20.1,18.8,156.8,166.9,139.8,143.3,150.4,131.3,13.5,16.5,8.5
５人以上,19.4,20.1,18.3,153.1,165.5,134.3,141.3,150.6,127.2,11.8,14.9,7.1
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年６月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
