事業所規模,産業,和暦年,西暦年,年平均・月,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
30人以上,TL 調査産業計,平成18,2006,年平均,4307455,2797621,1509834,89274,48200,41075,83870,46568,37302,4312859,2799253,1513607,16.2,7.6,32
30人以上,TL 調査産業計,平成19,2007,年平均,4359575,2860321,1499254,90873,49957,40916,84901,47108,37794,4365547,2863170,1502376,14.5,7.1,28.7
30人以上,TL 調査産業計,平成20,2008,年平均,4439995,2946165,1493830,91110,51235,39876,80597,44757,35840,4450508,2952643,1497866,13.9,6.9,27.7
30人以上,TL 調査産業計,平成21,2009,年平均,4744230,2998797,1745433,96272,53860,42412,95174,51696,43478,4745328,3000961,1744367,15.9,8.3,29.1
30人以上,TL 調査産業計,平成22,2010,年平均,4707023,2936527,1770496,88074,46982,41091,90211,49259,40952,4704886,2934250,1770635,15.8,8.2,28.3
30人以上,TL 調査産業計,平成23,2011,年平均,4695712,2911544,1784168,84970,45778,39192,86667,47639,39028,4694015,2909683,1784332,16.4,8.3,29.5
30人以上,TL 調査産業計,平成24,2012,年平均,5016328,3136233,1880095,92336,50948,41388,94391,52499,41892,5014273,3134682,1879591,17.6,8.9,32.1
30人以上,TL 調査産業計,平成24,2012,1月,5015994,3131424,1884570,43923,24172,19751,58075,31297,26778,5001842,3124299,1877543,17.6,8.9,32.2
30人以上,TL 調査産業計,平成24,2012,2月,5000476,3135074,1865402,71530,37933,33597,73014,38739,34275,4998992,3134268,1864724,17.5,8.8,32.2
30人以上,TL 調査産業計,平成24,2012,3月,5000359,3123612,1876747,78922,44200,34722,108739,56373,52366,4970542,3111439,1859103,17.5,8.7,32.3
30人以上,TL 調査産業計,平成24,2012,4月,4970542,3114272,1856270,305229,171818,133411,212597,129394,83203,5063174,3156696,1906478,17.2,8.6,31.5
30人以上,TL 調査産業計,平成24,2012,5月,5063174,3156581,1906593,100249,51801,48448,102218,53033,49185,5061205,3155349,1905856,17.4,8.7,31.7
30人以上,TL 調査産業計,平成24,2012,6月,5064038,3166564,1897474,72946,40756,32190,86348,46805,39543,5050636,3160515,1890121,17.5,8.9,31.9
30人以上,TL 調査産業計,平成24,2012,7月,5050636,3160130,1890506,78797,45179,33618,96199,56769,39430,5033234,3148540,1884694,17.6,9,31.9
30人以上,TL 調査産業計,平成24,2012,8月,5033234,3141152,1892082,60561,35739,24822,75296,41383,33913,5018499,3135508,1882991,17.6,8.9,32
30人以上,TL 調査産業計,平成24,2012,9月,5018499,3130960,1887539,59835,32413,27422,80160,41238,38922,4998174,3122135,1876039,17.4,8.8,31.7
30人以上,TL 調査産業計,平成24,2012,10月,4984090,3117747,1866343,106118,59959,46159,95879,55834,40045,4994329,3121872,1872457,17.8,9.1,32.3
30人以上,TL 調査産業計,平成24,2012,11月,5000449,3129463,1870986,64604,33498,31106,78574,42765,35809,4986479,3120196,1866283,17.9,9,32.6
30人以上,TL 調査産業計,平成24,2012,12月,4994445,3127821,1866624,65323,33913,31410,65595,36358,29237,4994173,3125376,1868797,18.1,9.2,32.8
30人以上,C 鉱業，採石業，砂利採取業,平成18,2006,年平均,2162,1772,390,40,35,5,38,33,5,2164,1774,390,0,0,0.3
30人以上,C 鉱業，採石業，砂利採取業,平成19,2007,年平均,2137,1745,393,31,28,3,37,32,5,2131,1741,391,1.9,0.1,9.7
30人以上,C 鉱業，採石業，砂利採取業,平成20,2008,年平均,2101,1738,363,32,29,3,24,21,3,2109,1746,363,1.8,0.1,9.9
30人以上,C 鉱業，採石業，砂利採取業,平成21,2009,年平均,2029,1595,434,37,32,5,33,30,3,2033,1597,436,0.5,0.5,0.5
30人以上,C 鉱業，採石業，砂利採取業,平成22,2010,年平均,2099,1650,449,42,37,5,34,31,3,2107,1656,451,0.3,0.2,0.4
30人以上,C 鉱業，採石業，砂利採取業,平成23,2011,年平均,2217,1732,485,37,30,7,29,25,4,2225,1737,488,0.4,0.5,0.1
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,年平均,1834,1487,347,37,33,4,33,30,3,1838,1490,348,1.1,0.9,1.5
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,1月,1776,1447,329,44,43,1,12,11,1,1808,1479,329,0.3,0.3,0
