事業所規模,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５～29人,平成18,2006,年平均,20.7,168.6,158.2,10.4,14.6,89,86.5,2.5
５～29人,平成19,2007,年平均,20.6,167.7,158.1,9.6,13.7,83.6,81.4,2.2
５～29人,平成20,2008,年平均,20.4,165.9,155.9,10,13.9,83.3,80.6,2.7
５～29人,平成21,2009,年平均,20.3,164.7,154.6,10.1,13.7,81.8,79.3,2.5
５～29人,平成22,2010,年平均,20.5,167.1,156.7,10.4,14,85.9,83.8,2.1
５～29人,平成23,2011,年平均,20.3,167.3,156.9,10.4,13.8,83.1,81.5,1.6
５～29人,平成24,2012,年平均,20.5,168.7,157.7,11,13.8,82.8,80.7,2.1
５～29人,平成24,2012,1月,18.4,152.3,142.2,10.1,13.2,81,78.6,2.4
５～29人,平成24,2012,2月,20.8,171.4,160.7,10.7,13.7,82.4,80.6,1.8
５～29人,平成24,2012,3月,20.5,169.9,158.4,11.5,13.6,82.5,80.5,2
５～29人,平成24,2012,4月,21.2,174.2,163.1,11.1,13.8,83.4,81.4,2
５～29人,平成24,2012,5月,19.8,163.2,152.4,10.8,13.6,82.6,80.6,2
５～29人,平成24,2012,6月,21.4,175.8,164.9,10.9,14.1,84.6,82.5,2.1
５～29人,平成24,2012,7月,21,172,161.2,10.8,14,83.4,81.3,2.1
５～29人,平成24,2012,8月,20,164.7,154.3,10.4,13.8,83.2,81.1,2.1
５～29人,平成24,2012,9月,20.4,168.3,157.3,11,13.8,82.1,80.1,2
５～29人,平成24,2012,10月,20.6,169.2,158,11.2,13.9,82.5,80.5,2
５～29人,平成24,2012,11月,21.3,175.8,163.9,11.9,14,82.9,80.8,2.1
５～29人,平成24,2012,12月,20.2,167.3,155.7,11.6,13.8,83,80.7,2.3
30～99人,平成18,2006,年平均,19.8,164.7,150.6,14.1,14.6,87.9,84.3,3.6
30～99人,平成19,2007,年平均,19.9,165.8,151.3,14.5,15.7,93.3,90,3.3
30～99人,平成20,2008,年平均,19.8,164.2,150.8,13.4,15.1,90.3,86.9,3.4
30～99人,平成21,2009,年平均,19.6,161.2,149,12.2,13.5,78.2,75,3.2
30～99人,平成22,2010,年平均,19.7,162.3,149.7,12.6,13.9,80.6,77.6,3
30～99人,平成23,2011,年平均,19.6,161.7,148.9,12.8,14,83.2,79.7,3.5
30～99人,平成24,2012,年平均,20,169.7,154.1,15.6,15.5,89.9,87.2,2.7
30～99人,平成24,2012,1月,18.3,156.6,142.3,14.3,14.8,85.8,82.1,3.7
30～99人,平成24,2012,2月,20.4,173.3,157.8,15.5,15.6,91.7,88.5,3.2
30～99人,平成24,2012,3月,20.2,172.4,155.7,16.7,15.3,89.7,87.1,2.6
30～99人,平成24,2012,4月,20.3,172.8,156.6,16.2,15.3,90,87.4,2.6
30～99人,平成24,2012,5月,19.6,165.9,151.1,14.8,15.6,91,88.4,2.6
30～99人,平成24,2012,6月,21,176.8,161,15.8,16,91.6,89.2,2.4
30～99人,平成24,2012,7月,20.2,170.7,155,15.7,15.7,91.1,88.4,2.7
30～99人,平成24,2012,8月,19.6,166.4,151.1,15.3,15.2,88.1,85.5,2.6
30～99人,平成24,2012,9月,19.6,167.3,152,15.3,15.4,88.9,86.8,2.1
30～99人,平成24,2012,10月,20.3,171.7,156.3,15.4,15.4,88.9,86.7,2.2
30～99人,平成24,2012,11月,21,176.8,160.9,15.9,15.9,92.5,89.8,2.7
30～99人,平成24,2012,12月,19.5,165.7,149,16.7,15.4,89.8,86.8,3
100～499人,平成18,2006,年平均,19.5,163.9,148.1,15.8,15.1,95.5,91.3,4.2
100～499人,平成19,2007,年平均,19.7,165.2,149.6,15.6,15.9,105.8,100.7,5.1
100～499人,平成20,2008,年平均,19.7,165.1,149.5,15.6,15.8,106.2,101.7,4.5
100～499人,平成21,2009,年平均,19.3,162.1,146.4,15.7,14.6,93.2,89.4,3.8
100～499人,平成22,2010,年平均,19.4,162.6,146.4,16.2,14.7,93.7,89.8,3.9
100～499人,平成23,2011,年平均,19.3,161.4,146.1,15.3,14.5,90.9,87.2,3.7
100～499人,平成24,2012,年平均,19.7,165.4,149.1,16.3,14.8,92.7,88.7,4
100～499人,平成24,2012,1月,18.1,153,136.9,16.1,14.3,88.8,84.6,4.2
100～499人,平成24,2012,2月,19.9,166.6,150,16.6,14.3,89.2,85.4,3.8
100～499人,平成24,2012,3月,20,168.4,151.3,17.1,15,94,90.1,3.9
