規模,産業,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,調査産業計,7225792,4349072,2876720,160669,79355,81314,153023,76930,76093,7233438,4351497,2881941,22.3,12.1,37.8
５人以上,"鉱業,採石業,砂利採取業",1880,1533,347,41,36,5,31,30,1,1890,1539,351,1,0.9,1.4
５人以上,建設業,340546,288250,52296,5381,4274,1107,5098,4213,885,340829,288311,52518,2.9,1.5,10.4
５人以上,製造業,723895,543797,180098,9644,6083,3561,12034,8989,3045,721505,540891,180614,6.3,2.4,18.2
５人以上,電気・ガス・熱供給・水道業,34277,30018,4259,535,497,38,146,112,34,34666,30403,4263,9,7.1,22.6
５人以上,情報通信業,762265,577119,185146,9907,6232,3675,10408,6269,4139,761764,577082,184682,3.6,1.8,9.3
５人以上,"運輸業,郵便業",456297,376697,79600,6750,3972,2778,10170,7333,2837,452877,373336,79541,14.8,10.4,35.3
５人以上,"卸売業,小売業",1480967,816816,664151,25810,10850,14960,26431,12847,13584,1480346,814819,665527,27.8,15.5,42.9
５人以上,"金融業,保険業",385768,211855,173913,11829,5572,6257,8393,4561,3832,389204,212866,176338,8.6,0.8,18
５人以上,"不動産業,物品賃貸業",198218,126269,71949,4299,2077,2222,3078,1827,1251,199439,126519,72920,24.4,16.4,38.1
５人以上,"学術研究,専門・技術サービス業",315510,220140,95370,11430,7339,4091,5534,3347,2187,321406,224132,97274,4.7,2.6,9.7
５人以上,"宿泊業,飲食サービス業",607114,267331,339783,24200,10099,14101,21674,8584,13090,609640,268846,340794,68.4,54.1,79.6
５人以上,"生活関連サービス業,娯楽業",218393,112987,105406,5245,1955,3290,5262,1938,3324,218376,113004,105372,26.9,17.3,37.2
５人以上,"教育,学習支援業",389457,198510,190947,15522,9799,5723,8196,4001,4195,396783,204308,192475,30.2,25.3,35.5
５人以上,"医療,福祉",540616,149885,390731,13234,3628,9606,10251,3476,6775,543599,150037,393562,31.5,23.7,34.5
５人以上,複合サービス事業,22136,11228,10908,430,185,245,494,267,227,22072,11146,10926,27.8,11.1,44.9
５人以上,サービス業（他に分類されないもの）,748453,416637,331816,16412,6757,9655,25823,9136,16687,739042,414258,324784,24.5,12.2,40.3
30人以上,調査産業計,5063174,3156581,1906593,100249,51801,48448,102218,53033,49185,5061205,3155349,1905856,17.4,8.7,31.7
30人以上,"鉱業,採石業,砂利採取業",1880,1533,347,41,36,5,31,30,1,1890,1539,351,1,0.9,1.4
30人以上,建設業,212433,185232,27201,2811,1929,882,3660,3080,580,211584,184081,27503,1.6,0.8,6.7
30人以上,製造業,563391,431709,131682,6971,4711,2260,9849,7643,2206,560513,428777,131736,4.7,2,13.5
30人以上,電気・ガス・熱供給・水道業,31054,27309,3745,499,475,24,112,92,20,31441,27692,3749,8.8,7.1,20.8
30人以上,情報通信業,653714,499638,154076,6102,3209,2893,9026,5517,3509,650790,497330,153460,3.1,1.6,8
30人以上,"運輸業,郵便業",377390,315667,61723,5761,3568,2193,9208,6839,2369,373943,312396,61547,13.7,10.4,30.9
30人以上,"卸売業,小売業",914449,510081,404368,12396,4926,7470,11917,5929,5988,914928,509078,405850,23.5,10.3,40
30人以上,"金融業,保険業",322614,176298,146316,9710,4591,5119,7418,3990,3428,324906,176899,148007,8.9,0.9,18.3
30人以上,"不動産業,物品賃貸業",130544,85071,45473,3006,1976,1030,2633,1639,994,130917,85408,45509,18.8,12.9,29.8
30人以上,"学術研究,専門・技術サービス業",216868,161065,55803,9728,6461,3267,2151,1533,618,224445,165993,58452,1.8,0.8,4.7
30人以上,"宿泊業,飲食サービス業",229043,97115,131928,7534,3221,4313,8073,2526,5547,228504,97810,130694,55.2,39.2,67.2
30人以上,"生活関連サービス業,娯楽業",117516,58119,59397,1706,557,1149,3307,995,2312,115915,57681,58234,32.1,19,45
30人以上,"教育,学習支援業",303466,167446,136020,13592,9231,4361,5325,3056,2269,311733,173621,138112,26.6,22.2,32.1
30人以上,"医療,福祉",371696,115545,256151,8497,2599,5898,5429,1856,3573,374764,116288,258476,24.4,21.3,25.7
30人以上,複合サービス事業,7965,4838,3127,112,32,80,399,267,132,7678,4603,3075,30.5,13.4,56.2
30人以上,サービス業（他に分類されないもの）,609151,319915,289236,11783,4279,7504,23680,8041,15639,597254,316153,281101,27.2,13.5,42.5
,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年５月分,,,,,,,,,,,,,,,,
第３表  産業、性別常用労働者数及びパートタイム労働者比率,,,,,,,,,,,,,,,,
