規模,産業,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,調査産業計,7162661,4311332,2851329,126251,64655,61596,164450,82935,81515,7124462,4293052,2831410,22.8,12.3,38.6
５人以上,"鉱業,採石業,砂利採取業",1791,1458,333,20,19,1,16,15,1,1795,1462,333,0.7,0.6,1.2
５人以上,建設業,333921,281182,52739,4598,4066,532,3408,3001,407,335111,282247,52864,3.4,1.8,11.5
５人以上,製造業,707703,528836,178867,8043,5418,2625,7783,5354,2429,707963,528900,179063,7,2.6,20
５人以上,電気・ガス・熱供給・水道業,34729,30240,4489,173,161,12,199,163,36,34703,30238,4465,9.2,7.4,21.1
５人以上,情報通信業,752135,570648,181487,4891,2308,2583,8366,5056,3310,748660,567900,180760,3.8,2,9.3
５人以上,"運輸業,郵便業",454409,374398,80011,5253,3768,1485,8165,6380,1785,451497,371786,79711,15.7,11.1,37.2
５人以上,"卸売業,小売業",1468892,810972,657920,31667,14619,17048,26356,12143,14213,1474203,813448,660755,28.2,15.4,43.9
５人以上,"金融業,保険業",385874,212391,173483,3925,2336,1589,9811,5731,4080,379988,208996,170992,7.9,0.8,16.7
５人以上,"不動産業,物品賃貸業",196967,125191,71776,2922,1561,1361,3250,1937,1313,196639,124815,71824,24.4,16.3,38.5
５人以上,"学術研究,専門・技術サービス業",312874,219526,93348,6251,4708,1543,6554,5328,1226,312571,218906,93665,5.2,3,10.4
５人以上,"宿泊業,飲食サービス業",602060,265971,336089,21777,10454,11323,24969,10164,14805,598868,266261,332607,69,55.2,80.1
５人以上,"生活関連サービス業,娯楽業",217284,111680,105604,5085,2858,2227,6477,3447,3030,215892,111091,104801,27.4,18.3,37.1
５人以上,"教育,学習支援業",393991,201390,192601,5454,2601,2853,22239,11377,10862,377206,192614,184592,29.3,24.5,34.4
５人以上,"医療,福祉",534793,149246,385547,11001,3406,7595,15313,4680,10633,530481,147972,382509,31.7,23.6,34.9
５人以上,複合サービス事業,21178,10669,10509,250,146,104,357,103,254,21071,10712,10359,29.3,10.1,49.3
５人以上,サービス業（他に分類されないもの）,744060,417534,326526,14941,6226,8715,21187,8056,13131,737814,415704,322110,25.9,12.1,43.7
30人以上,調査産業計,5000359,3123612,1876747,78922,44200,34722,108739,56373,52366,4970542,3111439,1859103,17.5,8.7,32.3
30人以上,"鉱業,採石業,砂利採取業",1791,1458,333,20,19,1,16,15,1,1795,1462,333,0.7,0.6,1.2
30人以上,建設業,207359,180125,27234,3452,3004,448,1992,1843,149,208819,181286,27533,1.5,0.9,5.8
30人以上,製造業,548185,418617,129568,5316,4193,1123,5058,3764,1294,548443,419046,129397,5,2.1,14.4
30人以上,電気・ガス・熱供給・水道業,31500,27535,3965,76,64,12,134,122,12,31442,27477,3965,8.9,7.3,19.8
30人以上,情報通信業,642695,492425,150270,4181,2079,2102,6790,4202,2588,640086,490302,149784,3.3,1.8,8.1
30人以上,"運輸業,郵便業",375453,313907,61546,4527,3473,1054,6408,5104,1304,373572,312276,61296,14.6,11.2,31.8
30人以上,"卸売業,小売業",902439,505744,396695,16849,9631,7218,14297,6729,7568,904991,508646,396345,23.8,10.5,41
30人以上,"金融業,保険業",323214,177309,145905,2924,1672,1252,8303,4983,3320,317835,173998,143837,8.1,0.8,16.9
30人以上,"不動産業,物品賃貸業",129262,84062,45200,1889,1100,789,2363,1257,1106,128788,83905,44883,18.6,12.2,30.5
30人以上,"学術研究,専門・技術サービス業",213787,159783,54004,5168,4136,1032,4676,3714,962,214279,160205,54074,2.2,1.2,5.1
30人以上,"宿泊業,飲食サービス業",224237,94160,130077,8711,3548,5163,10377,3473,6904,222571,94235,128336,54.8,37.1,67.8
30人以上,"生活関連サービス業,娯楽業",116610,57810,58800,2296,1330,966,2161,1298,863,116745,57842,58903,32.5,19.6,45.2
30人以上,"教育,学習支援業",305912,170954,134958,2748,1113,1635,17808,8930,8878,290852,163137,127715,24.3,20.7,28.9
30人以上,"医療,福祉",367176,114185,252991,6935,2730,4205,10518,3858,6660,363593,113057,250536,24,20.6,25.6
30人以上,複合サービス事業,7699,4736,2963,194,90,104,168,103,65,7725,4723,3002,29.9,13.6,55.4
30人以上,サービス業（他に分類されないもの）,603040,320802,282238,13636,6018,7618,17670,6978,10692,599006,319842,279164,28.6,13.2,46.3
,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年３月分,,,,,,,,,,,,,,,,
第３表  産業、性別常用労働者数及びパートタイム労働者比率,,,,,,,,,,,,,,,,
