規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,470056,547934,322613,456180,532717,311278,416316,39864,13876,15217,11335
100～499人,384329,454947,262799,360708,425513,249182,331163,29545,23621,29434,13617
100人以上,423961,498722,289541,404845,475981,276944,370529,34316,19116,22741,12597
30～99人,312222,372455,225335,301020,359448,216737,279657,21363,11202,13007,8598
５～29人,264658,333512,181316,257359,323238,177619,245297,12062,7299,10274,3697
30人以上,386133,458329,265811,369696,438702,254692,339765,29931,16437,19627,11119
５人以上,349593,424161,236941,335905,407094,228358,311349,24556,13688,17067,8583
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年４月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
