事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
30人以上,TL 調査産業計,平成18,2006,年平均,19.6,163.8,148.5,15.3,14.8,91.3,87.1,4.2
30人以上,TL 調査産業計,平成19,2007,年平均,19.7,165,149.3,15.7,15.6,96.2,91.9,4.3
30人以上,TL 調査産業計,平成20,2008,年平均,19.6,164.1,148.9,15.2,15.2,94.9,90.7,4.2
30人以上,TL 調査産業計,平成21,2009,年平均,19.4,161.3,146.7,14.6,13.9,84.7,81.3,3.4
30人以上,TL 調査産業計,平成22,2010,年平均,19.5,162.1,147,15.1,14.3,87.3,83.8,3.5
30人以上,TL 調査産業計,平成23,2011,年平均,19.4,161.5,146.7,14.8,14.3,88.2,84.6,3.6
30人以上,TL 調査産業計,平成24,2012,年平均,19.7,165.5,149.6,15.9,15,91.1,87.6,3.5
30人以上,TL 調査産業計,平成24,2012,1月,18.2,153.7,138.2,15.5,14.4,86.8,82.9,3.9
30人以上,TL 調査産業計,平成24,2012,2月,19.9,167.1,151.1,16,14.9,90.5,87,3.5
30人以上,TL 調査産業計,平成24,2012,3月,20.1,168.8,151.9,16.9,15.1,91.6,88.2,3.4
30人以上,TL 調査産業計,平成24,2012,4月,20.1,169,152.3,16.7,15.1,91.9,88.3,3.6
30人以上,TL 調査産業計,平成24,2012,5月,19.5,163.9,148.2,15.7,15.1,91.7,88.2,3.5
30人以上,TL 調査産業計,平成24,2012,6月,20.4,170.3,154.6,15.7,15.5,92.9,89.6,3.3
30人以上,TL 調査産業計,平成24,2012,7月,20.1,168,152.4,15.6,15.3,92.6,89.2,3.4
30人以上,TL 調査産業計,平成24,2012,8月,19.6,163.9,148.7,15.2,15,90.4,87.2,3.2
30人以上,TL 調査産業計,平成24,2012,9月,19.1,160.1,145.2,14.9,14.8,89.6,86.6,3
30人以上,TL 調査産業計,平成24,2012,10月,20.1,168.5,152.7,15.8,15.2,91.1,87.8,3.3
30人以上,TL 調査産業計,平成24,2012,11月,20.5,171.4,155.2,16.2,15.3,93.1,89.5,3.6
30人以上,TL 調査産業計,平成24,2012,12月,19.2,161.2,144.9,16.3,14.9,90.8,86.8,4
30人以上,C 鉱業，採石業，砂利採取業,平成18,2006,年平均,19.6,150.5,146.7,3.8,3.1,17.9,17.9,0
30人以上,C 鉱業，採石業，砂利採取業,平成19,2007,年平均,19.8,159.8,144.5,15.3,13.7,64.4,64.3,0.1
30人以上,C 鉱業，採石業，砂利採取業,平成20,2008,年平均,19.6,158.5,144.2,14.3,13.5,60.6,60,0.6
30人以上,C 鉱業，採石業，砂利採取業,平成21,2009,年平均,18.8,148.9,136.3,12.6,10.6,60.9,56.2,4.7
30人以上,C 鉱業，採石業，砂利採取業,平成22,2010,年平均,19,151.3,138.2,13.1,12.6,81.8,80,1.8
30人以上,C 鉱業，採石業，砂利採取業,平成23,2011,年平均,19,150.5,139.2,11.3,10.8,70.6,70.5,0.1
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,年平均,19.6,160.5,143.3,17.2,16,105.1,100.5,4.6
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,1月,18.5,152.8,137.9,14.9,12.7,76.4,76.4,0
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,2月,19.9,163.6,148.4,15.2,12.2,66,66,0
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,3月,19.9,162.6,146.7,15.9,15.5,86.2,86.2,0
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,4月,20.1,164.8,148.7,16.1,18.3,117.6,113.1,4.5
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,5月,19.1,157,141.2,15.8,15.8,102.6,99.2,3.4
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,6月,20.2,164,148.5,15.5,16.3,107.8,103.7,4.1
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,7月,20.1,161.2,144.2,17,14.7,105.7,95.3,10.4
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,8月,20,162.8,132.4,30.4,18.9,122.6,113.7,8.9
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,9月,18.6,151,135.5,15.5,16.1,108.5,106,2.5
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,10月,20.3,166.7,150,16.7,14.7,96.4,92.6,3.8
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,11月,20.4,167.5,148.7,18.8,17.8,117.3,112.8,4.5
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,12月,18.5,151.2,137.1,14.1,15.6,98.5,96.3,2.2
30人以上,D 建設業,平成18,2006,年平均,20.5,172.5,156.8,15.7,14.3,83.2,81.6,1.6
30人以上,D 建設業,平成19,2007,年平均,20.5,174.1,157.4,16.7,17.5,129,126,3
30人以上,D 建設業,平成20,2008,年平均,20.4,173.6,156.2,17.4,17.3,125.1,122,3.1
30人以上,D 建設業,平成21,2009,年平均,19.8,170.5,151.8,18.7,17.1,115.8,113,2.8
30人以上,D 建設業,平成22,2010,年平均,19.9,170,152.2,17.8,17.5,124.3,121.6,2.7
30人以上,D 建設業,平成23,2011,年平均,19.9,170.1,151.6,18.5,17.8,128.7,126.1,2.6
30人以上,D 建設業,平成24,2012,年平均,20.9,181.9,156.2,25.7,15.2,124,121.2,2.8
30人以上,D 建設業,平成24,2012,1月,19,164.7,141.6,23.1,13.6,115.5,112.6,2.9
30人以上,D 建設業,平成24,2012,2月,21,181.4,157,24.4,16.6,128.5,125.6,2.9
30人以上,D 建設業,平成24,2012,3月,21.6,187.4,160.7,26.7,16.1,129.7,125.5,4.2
30人以上,D 建設業,平成24,2012,4月,21.3,185.7,158.1,27.6,15.1,127.4,123.1,4.3
30人以上,D 建設業,平成24,2012,5月,20.3,177.6,151.8,25.8,14.5,121.8,119.1,2.7
30人以上,D 建設業,平成24,2012,6月,21.4,184.8,160.1,24.7,15.8,129.7,127.5,2.2
30人以上,D 建設業,平成24,2012,7月,21.4,186.7,160.5,26.2,15,124.8,122.4,2.4
30人以上,D 建設業,平成24,2012,8月,20.3,181.2,156.3,24.9,14.4,119.7,117.3,2.4
30人以上,D 建設業,平成24,2012,9月,20.3,178,152,26,15.4,127.7,125.1,2.6
30人以上,D 建設業,平成24,2012,10月,20.9,183.3,156.6,26.7,14.1,120,117.5,2.5
30人以上,D 建設業,平成24,2012,11月,22.4,190.3,164.7,25.6,15.6,126.2,123.2,3
30人以上,D 建設業,平成24,2012,12月,21,180.7,154.5,26.2,15.6,117.9,115.7,2.2
30人以上,E 製造業,平成18,2006,年平均,19.5,166,150.4,15.6,18.3,144.3,134.9,9.4
30人以上,E 製造業,平成19,2007,年平均,19.3,162.4,147.8,14.6,17.6,117.7,113.1,4.6
30人以上,E 製造業,平成20,2008,年平均,19.3,160.5,146.7,13.8,17.5,117.9,113.4,4.5
30人以上,E 製造業,平成21,2009,年平均,19.1,158.9,147.5,11.4,17.5,128.5,118.8,9.7
30人以上,E 製造業,平成22,2010,年平均,19.3,161.5,149,12.5,17.8,139,126.1,12.9
30人以上,E 製造業,平成23,2011,年平均,19.2,160.6,148.2,12.4,17.4,132.5,122.1,10.4
30人以上,E 製造業,平成24,2012,年平均,19.2,161.8,147.6,14.2,17.5,131,119.4,11.6
30人以上,E 製造業,平成24,2012,1月,17.2,144,130.9,13.1,15.8,119.2,109,10.2
30人以上,E 製造業,平成24,2012,2月,19.5,165.1,150.3,14.8,17.8,132.3,120.6,11.7
30人以上,E 製造業,平成24,2012,3月,19.8,167.1,151.8,15.3,17.5,131.1,120.1,11
30人以上,E 製造業,平成24,2012,4月,19.8,166.7,151.8,14.9,17.7,134,121,13
30人以上,E 製造業,平成24,2012,5月,18.7,157.4,143.5,13.9,16.7,126.6,112.9,13.7
