規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19.5,20,18.6,158.4,165.4,145.5,143.8,148.9,134.5,14.6,16.5,11
100～499人,19.4,19.9,18.5,157.4,168,139.2,142.8,150.2,130.1,14.6,17.8,9.1
100人以上,19.4,20,18.5,157.9,166.8,142.1,143.3,149.6,132.1,14.6,17.2,10
30～99人,19.8,20.6,18.6,156.8,171.2,135.3,144,154.7,128.1,12.8,16.5,7.2
５～29人,18.7,20,17.3,143,160.9,122,134.6,149.7,116.9,8.4,11.2,5.1
30人以上,19.6,20.2,18.5,157.5,168.2,139.7,143.5,151.2,130.7,14,17,9
５人以上,19.3,20.1,18.1,153.1,166.2,133.5,140.8,150.8,125.9,12.3,15.4,7.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年１１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
