規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19,19.2,18.4,153.5,159.1,143.2,139.1,142.9,132,14.4,16.2,11.2
100～499人,18.7,19.1,18,152.5,162.3,135.9,138.2,144.9,126.7,14.3,17.4,9.2
100人以上,18.8,19.2,18.2,153,160.8,139.1,138.6,144,129,14.4,16.8,10.1
30～99人,18.7,19.2,17.9,148.2,160.8,130.2,136.3,145.2,123.6,11.9,15.6,6.6
５～29人,17.7,18.6,16.5,135.8,150.4,117.8,128,139.8,113.5,7.8,10.6,4.3
30人以上,18.8,19.2,18.1,151.3,160.8,135.8,137.8,144.4,127,13.5,16.4,8.8
５人以上,18.4,19,17.6,146.7,157.9,129.8,134.9,143.1,122.5,11.8,14.8,7.3
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年５月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
