事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,TL 調査産業計,平成18,2006,年平均,19.9,165.1,151.3,13.8,14.7,90.2,86.8,3.4
５人以上,TL 調査産業計,平成19,2007,年平均,20,165.8,151.8,14,14.6,89.7,86.5,3.2
５人以上,TL 調査産業計,平成20,2008,年平均,19.8,164.6,150.8,13.8,14.5,88.7,85.3,3.4
５人以上,TL 調査産業計,平成21,2009,年平均,19.6,162.2,148.8,13.4,13.8,83.2,80.3,2.9
５人以上,TL 調査産業計,平成22,2010,年平均,19.7,163.4,149.6,13.8,14.2,86.6,83.8,2.8
５人以上,TL 調査産業計,平成23,2011,年平均,19.6,163,149.4,13.6,14.1,85.6,83,2.6
５人以上,TL 調査産業計,平成24,2012,年平均,19.9,166.3,151.7,14.6,14.5,87.2,84.4,2.8
５人以上,TL 調査産業計,平成24,2012,1月,18.2,153.3,139.2,14.1,13.8,84.1,80.9,3.2
５人以上,TL 調査産業計,平成24,2012,2月,20.1,168.2,153.5,14.7,14.4,86.8,84.1,2.7
５人以上,TL 調査産業計,平成24,2012,3月,20.2,169,153.5,15.5,14.4,87.4,84.7,2.7
５人以上,TL 調査産業計,平成24,2012,4月,20.3,170.4,155.1,15.3,14.5,88,85.1,2.9
５人以上,TL 調査産業計,平成24,2012,5月,19.6,163.7,149.3,14.4,14.4,87.5,84.7,2.8
５人以上,TL 調査産業計,平成24,2012,6月,20.7,171.8,157.3,14.5,14.8,89,86.3,2.7
５人以上,TL 調査産業計,平成24,2012,7月,20.3,169.1,154.7,14.4,14.7,88.4,85.6,2.8
５人以上,TL 調査産業計,平成24,2012,8月,19.7,164.1,150.1,14,14.4,87.1,84.4,2.7
５人以上,TL 調査産業計,平成24,2012,9月,19.4,162.2,148.3,13.9,14.4,86.1,83.6,2.5
５人以上,TL 調査産業計,平成24,2012,10月,20.2,168.6,154,14.6,14.6,87.1,84.4,2.7
５人以上,TL 調査産業計,平成24,2012,11月,20.7,172.5,157.4,15.1,14.7,88.3,85.4,2.9
５人以上,TL 調査産業計,平成24,2012,12月,19.4,162.8,147.7,15.1,14.4,87.2,84,3.2
５人以上,C 鉱業，採石業，砂利採取業,平成18,2006,年平均,19.6,150.5,146.7,3.8,3.1,17.9,17.9,0
５人以上,C 鉱業，採石業，砂利採取業,平成19,2007,年平均,19.8,159.8,144.5,15.3,13.7,64.4,64.3,0.1
５人以上,C 鉱業，採石業，砂利採取業,平成20,2008,年平均,19.6,158.5,144.2,14.3,13.5,60.6,60,0.6
５人以上,C 鉱業，採石業，砂利採取業,平成21,2009,年平均,18.8,148.9,136.3,12.6,10.6,60.9,56.2,4.7
５人以上,C 鉱業，採石業，砂利採取業,平成22,2010,年平均,19,151.3,138.2,13.1,12.6,81.8,80,1.8
５人以上,C 鉱業，採石業，砂利採取業,平成23,2011,年平均,19,150.5,139.2,11.3,10.8,70.6,70.5,0.1
５人以上,C 鉱業，採石業，砂利採取業,平成24,2012,年平均,19.6,160.5,143.3,17.2,16,105.1,100.5,4.6
５人以上,C 鉱業，採石業，砂利採取業,平成24,2012,1月,18.5,152.8,137.9,14.9,12.7,76.4,76.4,0
５人以上,C 鉱業，採石業，砂利採取業,平成24,2012,2月,19.9,163.6,148.4,15.2,12.2,66,66,0
５人以上,C 鉱業，採石業，砂利採取業,平成24,2012,3月,19.9,162.6,146.7,15.9,15.5,86.2,86.2,0
５人以上,C 鉱業，採石業，砂利採取業,平成24,2012,4月,20.1,164.8,148.7,16.1,18.3,117.6,113.1,4.5
５人以上,C 鉱業，採石業，砂利採取業,平成24,2012,5月,19.1,157,141.2,15.8,15.8,102.6,99.2,3.4
５人以上,C 鉱業，採石業，砂利採取業,平成24,2012,6月,20.2,164,148.5,15.5,16.3,107.8,103.7,4.1
５人以上,C 鉱業，採石業，砂利採取業,平成24,2012,7月,20.1,161.2,144.2,17,14.7,105.7,95.3,10.4
５人以上,C 鉱業，採石業，砂利採取業,平成24,2012,8月,20,162.8,132.4,30.4,18.9,122.6,113.7,8.9
５人以上,C 鉱業，採石業，砂利採取業,平成24,2012,9月,18.6,151,135.5,15.5,16.1,108.5,106,2.5
５人以上,C 鉱業，採石業，砂利採取業,平成24,2012,10月,20.3,166.7,150,16.7,14.7,96.4,92.6,3.8
５人以上,C 鉱業，採石業，砂利採取業,平成24,2012,11月,20.4,167.5,148.7,18.8,17.8,117.3,112.8,4.5
５人以上,C 鉱業，採石業，砂利採取業,平成24,2012,12月,18.5,151.2,137.1,14.1,15.6,98.5,96.3,2.2
５人以上,D 建設業,平成18,2006,年平均,21.1,174.5,160.7,13.8,16.9,119.9,115.9,4
５人以上,D 建設業,平成19,2007,年平均,20.9,174.3,159.5,14.8,16.3,117,113.6,3.4
５人以上,D 建設業,平成20,2008,年平均,20.7,174.2,158.3,15.9,16.1,111.9,108.3,3.6
５人以上,D 建設業,平成21,2009,年平均,20.3,171,155.4,15.6,16.9,110.9,108.7,2.2
５人以上,D 建設業,平成22,2010,年平均,20.3,170.7,156,14.7,16.9,109.2,106.4,2.8
５人以上,D 建設業,平成23,2011,年平均,20.3,171.4,155.3,16.1,15.7,104.8,103.5,1.3
５人以上,D 建設業,平成24,2012,年平均,20.9,178.7,157.8,20.9,14.2,99.2,97.9,1.3
５人以上,D 建設業,平成24,2012,1月,18.8,160.2,141.5,18.7,12.1,85.8,84.3,1.5
５人以上,D 建設業,平成24,2012,2月,21.3,180.3,160.6,19.7,15.1,105.2,104,1.2
５人以上,D 建設業,平成24,2012,3月,21.5,183.9,162.3,21.6,14.4,103,101.4,1.6
５人以上,D 建設業,平成24,2012,4月,21.6,184.7,162.4,22.3,14.2,102.6,100.9,1.7
５人以上,D 建設業,平成24,2012,5月,20,173,151.5,21.5,13.5,99.2,97.8,1.4
５人以上,D 建設業,平成24,2012,6月,21.5,182.7,162.9,19.8,14.3,101.7,100.4,1.3
５人以上,D 建設業,平成24,2012,7月,21.5,183.5,162.4,21.1,14.6,101.6,100.4,1.2
５人以上,D 建設業,平成24,2012,8月,20.3,176.7,156.1,20.6,13.9,96,94.8,1.2
５人以上,D 建設業,平成24,2012,9月,20.4,175.1,153.9,21.2,14.6,100,98.9,1.1
５人以上,D 建設業,平成24,2012,10月,21.1,180.6,158.6,22,14.5,99.1,97.9,1.2
５人以上,D 建設業,平成24,2012,11月,22.2,186.9,165.5,21.4,14.7,99.2,97.7,1.5
５人以上,D 建設業,平成24,2012,12月,20.9,176.9,155.4,21.5,14.6,97.8,96.7,1.1
５人以上,E 製造業,平成18,2006,年平均,19.8,166.9,152.8,14.1,18.1,132.2,125.8,6.4
５人以上,E 製造業,平成19,2007,年平均,19.7,164.4,150.9,13.5,17.4,111.7,108.1,3.6
５人以上,E 製造業,平成20,2008,年平均,19.5,161.8,149.3,12.5,16.9,107.4,104.6,2.8
