規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19.4,19.8,18.7,157.1,163.3,145.4,143.1,147.5,134.8,14,15.8,10.6
100～499人,19.3,19.7,18.5,155.5,165.3,138.7,141.8,148.5,130.3,13.7,16.8,8.4
100人以上,19.3,19.7,18.6,156.3,164.4,141.7,142.4,148,132.3,13.9,16.4,9.4
30～99人,19.1,19.8,18.2,151.9,166.3,131.1,139.3,149.6,124.4,12.6,16.7,6.7
５～29人,18.6,19.7,17.2,141.5,158.7,120.8,133.7,148.1,116.3,7.8,10.6,4.5
30人以上,19.3,19.8,18.4,154.9,165,137.8,141.4,148.5,129.4,13.5,16.5,8.4
５人以上,19.1,19.7,18,150.8,163.3,132,139,148.4,124.9,11.8,14.9,7.1
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年７月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
