規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,454210,534253,305026,442160,519825,297408,406101,36059,12050,14428,7618
100～499人,358047,423723,243924,350317,414319,239102,322525,27792,7730,9404,4822
100人以上,402475,475476,271472,392749,463720,265389,361138,31611,9726,11756,6083
30～99人,304961,366748,216132,296006,355618,210302,275906,20100,8955,11130,5830
５～29人,261784,331069,178896,250802,315980,172826,239805,10997,10982,15089,6070
30人以上,369526,440778,251045,360060,429222,245056,332338,27722,9466,11556,5989
５人以上,336959,410691,226200,327035,398166,220183,304369,22666,9924,12525,6017
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年１月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
