規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19.5,19.8,18.9,157.6,164.3,145.2,143.4,148.2,134.5,14.2,16.1,10.7
100～499人,19.2,19.7,18.3,154.9,165.8,136.1,140.7,148.4,127.4,14.2,17.4,8.7
100人以上,19.3,19.8,18.5,156.1,165.1,140.2,141.9,148.3,130.6,14.2,16.8,9.6
30～99人,19.2,19.8,18.1,152.2,166.3,131.5,139.9,150.1,124.8,12.3,16.2,6.7
５～29人,18.2,19.4,16.9,138.9,155.8,118.8,130.9,145.1,114.1,8,10.7,4.7
30人以上,19.3,19.8,18.4,154.8,165.5,137,141.2,148.9,128.5,13.6,16.6,8.5
５人以上,19,19.7,17.9,150,162.9,130.7,138.1,147.9,123.5,11.9,15,7.2
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年１０月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
