規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.8,156.2,140.8,15.4,14,88.6,83.9,4.7
100～499人,19.2,162,145.3,16.7,14.7,93.3,88.5,4.8
100人以上,19,159.1,143.1,16,14.5,91.7,86.9,4.8
30～99人,19.5,165.7,149,16.7,15.4,89.8,86.8,3
５～29人,20.2,167.3,155.7,11.6,13.8,83,80.7,2.3
30人以上,19.2,161.2,144.9,16.3,14.9,90.8,86.8,4
５人以上,19.4,162.8,147.7,15.1,14.4,87.2,84,3.2
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年１２月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
