規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,484202,568393,325626,452621,531913,303273,413464,39157,31581,36480,22353
100～499人,386841,459059,260910,355450,420072,242765,326468,28982,31391,38987,18145
100人以上,431792,510284,289991,400313,472471,269955,366634,33679,31479,37813,20036
30～99人,337037,409907,232413,299605,358774,214652,277966,21639,37432,51133,17761
５～29人,262616,330524,179973,253315,318685,173761,241109,12206,9301,11839,6212
30人以上,399701,478238,268624,366206,436173,249433,336604,29602,33495,42065,19191
５人以上,358287,437563,238253,332101,403821,223508,307755,24346,26186,33742,14745
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年３月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
