規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,526712,492061,449109,42952,34651,134659,128323,120371,7952,6336
100～499人,442655,404989,371079,33910,37666,124241,122375,116581,5794,1866
100人以上,483095,446880,408620,38260,36215,127853,124437,117895,6542,3416
30～99人,407654,359070,331574,27496,48584,109076,107645,104913,2732,1431
５～29人,351883,337998,320441,17557,13885,95166,94465,92295,2170,701
30人以上,459433,419338,384454,34884,40095,119288,116778,111974,4804,2510
５人以上,431995,398587,368124,30463,33408,108155,106480,102892,3588,1675
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年３月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
