規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.5,161.3,145.6,15.7,14.7,91.8,87.4,4.4
100～499人,19.5,164.5,148.1,16.4,14.8,92.6,88.4,4.2
100人以上,19.5,162.9,146.9,16,14.8,92.3,88,4.3
30～99人,19.6,165.9,151.1,14.8,15.6,91,88.4,2.6
５～29人,19.8,163.2,152.4,10.8,13.6,82.6,80.6,2
30人以上,19.5,163.9,148.2,15.7,15.1,91.7,88.2,3.5
５人以上,19.6,163.7,149.3,14.4,14.4,87.5,84.7,2.8
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年５月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
