事業所規模,産業,夏季／1人平均支給額(円),夏季／1人平均支給額／前年比(％),夏季／支給事業所数割合(％),夏季／支給労働者数割合(％),夏季／平均支給月数(か月),夏季／平均支給月数／前年支給月数差(か月),冬季／1人平均支給額(円),冬季／1人平均支給額／前年比(％),冬季／支給事業所数割合(％),冬季／支給労働者数割合(％),冬季／平均支給月数(か月),冬季／平均支給月数／前年支給月数差(か月)
30人以上,TL 調査産業計,583601,-0.6,89.7,91.8,1.31,0,574802,-6.6,89.4,92.8,1.35,-0.08
30人以上,C 鉱業，採石業，砂利採取業,1380590,1.1,100,100,2.99,0.19,1373068,-1,100,100,3.28,0.53
30人以上,D 建設業,553435,-28.4,88.5,95.3,1.3,-0.74,522033,-24.8,88.4,97.2,1.14,-0.75
30人以上,E 製造業,792227,-12.4,88.8,95.4,1.39,-0.07,677523,-23.1,93.2,91.4,1.42,0.03
30人以上,F 電気・ガス・熱供給・水道業,1034641,36,85.7,77.1,2.49,0.07,1048996,49.5,85.7,77.4,2.56,0.39
30人以上,G 情報通信業,718747,-3.3,88.2,86.6,1.39,0.01,753709,-6.3,87.6,89.2,1.57,-0.06
30人以上,"H 運輸業,郵便業",504121,19.6,93.8,94,1.32,0.06,539823,23.3,94.4,96.3,1.43,0.1
30人以上,"I 卸売業,小売業",621322,33,91.6,93,1.29,0.13,525334,-7.9,89.9,93.9,1.23,-0.19
30人以上,"J 金融業,保険業",886327,1.9,96.3,99.3,1.79,-0.19,919915,7.5,99.4,100,1.75,-0.37
30人以上,"K 不動産業,物品賃貸業",579069,9.2,85.4,89.3,1.52,0.21,538731,-0.6,87.5,93.1,1.47,0.04
30人以上,"L 学術研究,専門・技術サービス業",708878,-10.3,86.5,77.8,1.4,0.14,650088,0.9,92.3,98.4,1.58,0.22
30人以上,"M 宿泊業,飲食サービス業",149345,12.2,84.8,91.5,0.51,0.07,164671,23.8,76.2,84.3,0.54,0.07
30人以上,"N 生活関連サービス業,娯楽業",359164,12.7,71.2,83.8,1.21,0.19,354730,33.9,82.3,88,1.06,0.04
30人以上,"O 教育,学習支援業",596491,-10.5,100,100,1.6,-0.22,714231,-8.6,93.9,98,1.85,-0.25
30人以上,"P 医療,福祉",425880,-1,99.4,99.6,1.28,-0.16,454018,-5.1,100,100,1.3,-0.12
30人以上,Q 複合サービス事業,404040,-4.3,100,100,1.37,0.06,429772,3.5,100,100,1.47,0.07
30人以上,R サービス業（他に分類されないもの）,273560,-31,81.1,84.2,1.08,-0.35,294608,-26,80.8,84.7,1.2,-0.3
30人以上,"E09,10 食料品製造業、飲料・たばこ・飼料製造業",685309,0.9,86.9,93,1.17,0.29,586446,-42.8,100,100,0.95,0
30人以上,E11 繊維工業,889860,-2.4,93.9,94.7,1.79,0.68,860029,-12.7,100,100,1.77,0.53
30人以上,E12 木材・木製品製造業（家具を除く）,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30人以上,E13 家具・装備品製造業,456158,-54.6,100,100,1.1,-1.51,454131,-33.6,89.5,92,1.04,0.28
30人以上,E14 パルプ・紙・紙加工品製造業,758591,19.7,100,100,1.42,0.08,742098,-8,100,100,1.49,-0.41
30人以上,E15 印刷・同関連業,470940,-0.9,76.4,89.8,0.74,-0.47,433417,0.7,91.4,96.1,0.76,-0.32
30人以上,"E16,17 化学工業、石油製品・石炭製品製造業",1111048,-23.2,97.1,92.6,1.98,0.08,1103783,5.9,97.1,92.4,2.07,0.31
30人以上,E18 プラスチック製品製造業（別掲を除く）,765007,-10.2,100,100,1.39,0.36,780928,-12.7,100,100,1.51,0.5
30人以上,E19 ゴム製品製造業,276511,-69.2,100,100,0.8,-1.56,380174,-59.9,70.3,77.8,1.15,-1.33
30人以上,E21 窯業・土石製品製造業,713634,-21.2,100,100,1.59,0.32,782312,-12,100,100,1.76,0.88
30人以上,E22 鉄鋼業,1025200,-13.9,82,95.9,1.52,-0.65,1034103,-20.7,85.2,96.6,1.61,-0.72
30人以上,E23 非鉄金属製造業,895751,26.5,100,100,2.01,0.39,925219,17.9,100,100,2.09,0.53
30人以上,E24 金属製品製造業,761696,39.4,82,84.3,1.54,0.06,924615,178.1,69.6,67.8,1.84,0.87
30人以上,E25 はん用機械器具製造業,844790,-5.1,81.9,92.5,1.92,-0.54,785517,-12.8,100,100,1.67,-1.01
30人以上,E26 生産用機械器具製造業,837075,135.9,100,100,1.47,0.51,909299,110.2,100,100,1.39,0.18
30人以上,E27 業務用機械器具製造業,763904,-8.5,89.6,98.3,1.23,-0.41,765742,-27.5,88.3,51.4,1.69,-0.1
30人以上,E28 電子部品・デバイス・電子回路製造業,601064,-35.1,100,100,1.09,-0.55,672685,-16.3,100,100,1.1,-0.13
30人以上,E29 電気機械器具製造業,901061,6.5,100,100,1.93,-0.18,944801,8.7,100,100,1.66,-0.32
30人以上,E30 情報通信機械器具製造業,850857,-25.3,95.6,99.5,1.63,-0.1,351380,-68.2,95.7,99.8,1.68,-0.01
30人以上,E31 輸送用機械器具製造業,682428,-25.8,80.4,95.8,1.46,0.18,685430,-14.5,80.2,96.1,1.64,0.13
30人以上,"E32,20 その他の製造業、なめし革・同製品・毛皮製造業",850650,52.6,81.8,91.6,1.7,0.69,629464,14.6,86.2,94.5,1.64,0.52
30人以上,I-1 卸売業,886144,-3.9,91.6,91.7,1.69,-0.06,762672,-7.3,87.8,92,1.69,0.01
30人以上,I-2 小売業,236116,84.5,91.7,95,0.8,0.28,219355,-3,92.2,96.4,0.75,0.04
30人以上,M75 宿泊業,240472,36.8,99,92,0.99,0.48,337038,64.2,62.8,83.5,1.16,0.52
30人以上,MS Ｍ一括分,133296,7.2,83.4,91.4,0.46,0.03,139014,15.5,77,84.4,0.51,0.05
30人以上,P83 医療業,512553,-9.1,100,100,1.34,-0.33,591953,-0.9,100,100,1.41,-0.15
30人以上,PSＰ一括分,324925,1.5,99.3,99.1,1.27,-0.14,315956,-7.7,100,100,1.27,-0.12
30人以上,R91 職業紹介・労働者派遣業,111321,-18.9,56.7,77.4,0.49,-0.43,102998,-33.9,63.7,84.6,0.42,-0.52
30人以上,R92 その他の事業サービス業,238165,-38,86.1,85.5,0.93,-0.42,296909,-22.2,83.8,82.9,1.15,-0.38
30人以上,RS Ｒ一括分,615436,6.4,82.4,91.3,1.62,-0.05,578242,-0.1,82.2,90.9,1.58,-0.05
30人以上,L71 学術・開発研究機関,809188,-7.4,69.8,82.7,1.76,0.31,754738,-17.6,100,100,1.66,-0.23
30人以上,"L72,74 専門サービス業，技術サービス業",664860,16.5,88.6,74.7,1.41,0.01,672079,17.4,90.3,98.2,1.67,0.24
30人以上,L73 広告業,638965,-22,91.8,90.8,0.96,-0.21,472837,-15.8,100,100,1.01,-0.19
30人以上,N78 洗濯・理容・美容・浴場業,309281,-7.9,80.6,87.6,0.96,-0.42,309789,-27.6,100,100,0.99,-0.88
30人以上,"R89,90 自動車整備業、機械等修理業",707585,9.1,100,100,2.03,-0.03,660831,2.1,82.6,93.4,1.97,0.1
30人以上,E25-31 ［特掲積上げ］機械関連製造業,799402,-11.6,93,98.5,1.48,-0.17,621329,-33.1,94.4,88.2,1.55,-0.09
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成24年年報,,,,,,,,,,,,,
第５表　夏・冬季賞与の産業別支給状況　（事業所規模３０人以上）,,,,,,,,,,,,,
