規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,20.1,166.8,150.9,15.9,14.7,92.1,87.6,4.5
100～499人,20.4,171.3,154.4,16.9,14.9,94.5,90.1,4.4
100人以上,20.2,169.1,152.7,16.4,14.8,93.6,89.2,4.4
30～99人,21,176.8,160.9,15.9,15.9,92.5,89.8,2.7
５～29人,21.3,175.8,163.9,11.9,14,82.9,80.8,2.1
30人以上,20.5,171.4,155.2,16.2,15.3,93.1,89.5,3.6
５人以上,20.7,172.5,157.4,15.1,14.7,88.3,85.4,2.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年１１月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
