規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19.2,19.4,18.7,153.9,159.2,144,140.1,143.5,133.6,13.8,15.7,10.4
100～499人,18.8,19.2,18,151.7,161.8,134.3,138.4,145.6,126,13.3,16.2,8.3
100人以上,19,19.3,18.3,152.7,160.6,138.6,139.2,144.6,129.4,13.5,16,9.2
30～99人,18.6,19.3,17.5,147.6,161.7,127.3,135.4,145.6,120.6,12.2,16.1,6.7
５～29人,17.8,18.9,16.5,136.1,152.7,116.5,128.6,142.4,112.3,7.5,10.3,4.2
30人以上,18.8,19.3,18,151,160.9,134.5,137.9,144.9,126.2,13.1,16,8.3
５人以上,18.5,19.2,17.5,146.5,158.7,128.3,135.1,144.3,121.4,11.4,14.4,6.9
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年８月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
