規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.9,165.5,148.8,16.7,14.5,91.7,87.5,4.2
100～499人,20,168.4,151.3,17.1,15,94,90.1,3.9
100人以上,20,167,150.1,16.9,14.8,93.2,89.2,4
30～99人,20.2,172.4,155.7,16.7,15.3,89.7,87.1,2.6
５～29人,20.5,169.9,158.4,11.5,13.6,82.5,80.5,2
30人以上,20.1,168.8,151.9,16.9,15.1,91.6,88.2,3.4
５人以上,20.2,169,153.5,15.5,14.4,87.4,84.7,2.7
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年３月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
