規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,465106,545505,314049,449686,527539,303411,412267,37419,15420,17966,10638
100～499人,356335,419654,244094,351955,414905,240369,323996,27959,4380,4749,3725
100人以上,406625,478486,275784,397141,467559,268928,364808,32333,9484,10927,6856
30～99人,301940,362064,215148,298376,357249,213391,277804,20572,3564,4815,1757
５～29人,254659,320170,175347,252603,317724,173763,240806,11797,2056,2446,1584
30人以上,371208,441374,253279,363727,432395,248315,335373,28354,7481,8979,4964
５人以上,335975,408096,226436,330134,400911,222636,306785,23349,5841,7185,3800
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年２月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
