事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／前月末労働者数(人),一般労働者／本月中の増加労働者数(人),一般労働者／本月中の減少労働者数(人),一般労働者／本月末労働者数(人),パートタイム労働者／前月末労働者数(人),パートタイム労働者／本月中の増加労働者数(人),パートタイム労働者／本月中の減少労働者数(人),パートタイム労働者／本月末労働者数(人)
30人以上,TL 調査産業計,平成18,2006,年平均,3609721,63395,58047,3615122,697734,25879,25823,697737
30人以上,TL 調査産業計,平成19,2007,年平均,3725379,65884,60645,3730695,634195,24989,24256,634852
30人以上,TL 調査産業計,平成20,2008,年平均,3822336,66085,57397,3831575,617659,25026,23200,618933
30人以上,TL 調査産業計,平成21,2009,年平均,3988851,67629,65175,3991303,755379,28643,29999,754025
30人以上,TL 調査産業計,平成22,2010,年平均,3962755,63265,64253,3961691,744268,24808,25958,743195
30人以上,TL 調査産業計,平成23,2011,年平均,3928539,59178,61119,3926584,767173,25792,25548,767431
30人以上,TL 調査産業計,平成24,2012,年平均,4135805,61252,64554,4132520,880523,31085,29837,881753
30人以上,TL 調査産業計,平成24,2012,1月,4129439,27984,37741,4119603,886555,15939,20334,882239
30人以上,TL 調査産業計,平成24,2012,2月,4124541,42741,45191,4122434,875935,28789,27823,876558
30人以上,TL 調査産業計,平成24,2012,3月,4120119,52111,72692,4099812,880240,26811,36047,870730
30人以上,TL 調査産業計,平成24,2012,4月,4102562,247405,158826,4190329,867980,57824,53771,872845
30人以上,TL 調査産業計,平成24,2012,5月,4188833,64384,70964,4182367,874341,35865,31254,878838
30人以上,TL 調査産業計,平成24,2012,6月,4182326,43400,59579,4165828,881712,29546,26769,884808
30人以上,TL 調査産業計,平成24,2012,7月,4169467,49281,69318,4149303,881169,29516,26881,883931
30人以上,TL 調査産業計,平成24,2012,8月,4146701,37424,47577,4137494,886533,23137,27719,881005
30人以上,TL 調査産業計,平成24,2012,9月,4146454,35895,53660,4128538,872045,23940,26500,869636
30人以上,TL 調査産業計,平成24,2012,10月,4112599,66127,71800,4107108,871491,39991,24079,887221
30人以上,TL 調査産業計,平成24,2012,11月,4112027,32629,48603,4096191,888422,31975,29971,890288
30人以上,TL 調査産業計,平成24,2012,12月,4094591,35638,38699,4091238,899854,29685,26896,902935
30人以上,C 鉱業，採石業，砂利採取業,平成18,2006,年平均,2160,40,38,2163,1,0,0,1
30人以上,C 鉱業，採石業，砂利採取業,平成19,2007,年平均,2097,30,36,2091,40,1,1,40
30人以上,C 鉱業，採石業，砂利採取業,平成20,2008,年平均,2064,32,24,2071,37,0,0,38
30人以上,C 鉱業，採石業，砂利採取業,平成21,2009,年平均,2017,37,33,2022,11,0,1,11
30人以上,C 鉱業，採石業，砂利採取業,平成22,2010,年平均,2094,42,33,2101,5,1,1,6
30人以上,C 鉱業，採石業，砂利採取業,平成23,2011,年平均,2209,37,29,2216,9,0,0,9
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,年平均,1815,36,33,1819,19,0,0,19
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,1月,1772,44,12,1803,4,0,0,5
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,2月,1803,18,35,1786,5,0,0,5
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,3月,1777,20,16,1782,14,0,0,13
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,4月,1781,156,75,1862,14,4,0,18
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,5月,1862,40,31,1871,18,1,0,19
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,6月,1856,35,40,1851,35,0,0,35
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,7月,1851,18,52,1817,35,0,0,35
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,8月,1836,10,28,1818,16,0,0,16
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,9月,1799,35,28,1806,35,0,0,35
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,10月,1822,25,33,1814,19,0,0,19
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,11月,1817,15,22,1810,16,0,0,16
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,12月,1807,19,28,1798,19,0,0,19
30人以上,D 建設業,平成18,2006,年平均,205521,2800,2737,205585,1084,107,79,1111
30人以上,D 建設業,平成19,2007,年平均,203530,2817,2759,203581,5681,223,265,5647
30人以上,D 建設業,平成20,2008,年平均,207942,2902,2477,208354,5753,235,196,5807
30人以上,D 建設業,平成21,2009,年平均,190976,2365,2101,191241,5304,135,113,5326
30人以上,D 建設業,平成22,2010,年平均,194300,2327,2497,194129,3390,54,104,3341
30人以上,D 建設業,平成23,2011,年平均,190879,2033,2270,190641,3160,58,37,3182
30人以上,D 建設業,平成24,2012,年平均,206826,2647,2621,206883,3297,105,56,3316
30人以上,D 建設業,平成24,2012,1月,205978,777,1347,205411,3128,17,54,3088
30人以上,D 建設業,平成24,2012,2月,205392,1032,2181,204244,3107,9,0,3115
30人以上,D 建設業,平成24,2012,3月,204250,3375,1986,205638,3109,77,6,3181
30人以上,D 建設業,平成24,2012,4月,205445,10768,7277,209301,3374,134,11,3132
30人以上,D 建設業,平成24,2012,5月,209277,2537,3639,208172,3156,274,21,3412
30人以上,D 建設業,平成24,2012,6月,208172,2630,2874,207928,3412,18,41,3389
30人以上,D 建設業,平成24,2012,7月,207953,1548,1917,207584,3364,22,120,3266
30人以上,D 建設業,平成24,2012,8月,207584,1722,1651,207656,3266,49,81,3233
30人以上,D 建設業,平成24,2012,9月,207683,1106,1457,207332,3206,268,56,3418
30人以上,D 建設業,平成24,2012,10月,207279,2954,2642,207593,3471,127,204,3392
30人以上,D 建設業,平成24,2012,11月,207573,975,2994,205555,3412,9,82,3338
30人以上,D 建設業,平成24,2012,12月,205331,2334,1485,206180,3562,261,0,3823
30人以上,E 製造業,平成18,2006,年平均,480203,6394,6347,480254,43819,1292,1423,43685
30人以上,E 製造業,平成19,2007,年平均,481158,5902,5555,481519,31804,1111,1082,31818
30人以上,E 製造業,平成20,2008,年平均,488011,5765,5457,488333,31494,808,1013,31275
30人以上,E 製造業,平成21,2009,年平均,501786,7592,7580,501686,27913,1014,1083,27956
30人以上,E 製造業,平成22,2010,年平均,488565,6793,7166,488191,27882,897,786,27994
30人以上,E 製造業,平成23,2011,年平均,483178,5829,6216,482789,29683,800,841,29644
30人以上,E 製造業,平成24,2012,年平均,523620,6486,6385,523724,27348,671,598,27419
