規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.1,151.7,135.8,15.9,13.5,85.5,81.6,3.9
100～499人,18.1,153,136.9,16.1,14.3,88.8,84.6,4.2
100人以上,18.1,152.4,136.4,16,14,87.6,83.5,4.1
30～99人,18.3,156.6,142.3,14.3,14.8,85.8,82.1,3.7
５～29人,18.4,152.3,142.2,10.1,13.2,81,78.6,2.4
30人以上,18.2,153.7,138.2,15.5,14.4,86.8,82.9,3.9
５人以上,18.2,153.3,139.2,14.1,13.8,84.1,80.9,3.2
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年１月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
