規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,510858,495562,451763,43799,15296,134009,131828,124375,7453,2181
100～499人,437055,409125,374780,34345,27930,124913,122492,116565,5927,2421
100人以上,472469,450602,411720,38882,21867,128144,125809,119339,6470,2335
30～99人,375334,361128,334087,27041,14206,109293,107749,104642,3107,1544
５～29人,353703,342830,325573,17257,10873,95387,94883,92696,2187,504
30人以上,442121,422647,387465,35182,19474,119418,117449,112536,4913,1969
５人以上,419633,402347,371724,30623,17286,108344,107050,103393,3657,1294
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年４月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
