規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,504963,488827,446781,42046,16136,130006,128851,121168,7683,1155
100～499人,431680,402558,368621,33937,29122,124840,123103,116990,6113,1737
100人以上,467198,444370,406502,37868,22828,126646,125112,118450,6662,1534
30～99人,372645,353851,326850,27001,18794,113316,112604,109317,3287,712
５～29人,350053,339227,322391,16836,10826,94512,93274,90902,2372,1238
30人以上,437637,416070,381600,34470,21567,120657,119493,114347,5146,1164
５人以上,415286,396460,366490,29970,18826,108580,107382,103517,3865,1198
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年１１月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
