規模,産業,１人平均支給額（円）,前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,前年支給月数差（か月）
30人以上,調査産業計,583601,-0.6,89.7,91.8,1.31,0
30人以上,"鉱業,採石業,砂利採取業",1380590,1.1,100,100,2.99,0.19
30人以上,建設業,553435,-28.4,88.5,95.3,1.3,-0.74
30人以上,製造業,792227,-12.4,88.8,95.4,1.39,-0.07
30人以上,電気・ガス・熱供給・水道業,1034641,36,85.7,77.1,2.49,0.07
30人以上,情報通信業,718747,-3.3,88.2,86.6,1.39,0.01
30人以上,運輸業，郵便業,504121,19.6,93.8,94,1.32,0.06
30人以上,卸売業，小売業,621322,33,91.6,93,1.29,0.13
30人以上,"金融業,保険業",886327,1.9,96.3,99.3,1.79,-0.19
30人以上,不動産業，物品賃貸業,579069,9.2,85.4,89.3,1.52,0.21
30人以上,学術研究，専門・技術サービス業,708878,-10.3,86.5,77.8,1.4,0.14
30人以上,宿泊業，飲食サービス業,149345,12.2,84.8,91.5,0.51,0.07
30人以上,生活関連サービス業，娯楽業,359164,12.7,71.2,83.8,1.21,0.19
30人以上,教育，学習支援業,596491,-10.5,100,100,1.6,-0.22
30人以上,医療，福祉,425880,-1,99.4,99.6,1.28,-0.16
30人以上,複合サービス事業,404040,-4.3,100,100,1.37,0.06
30人以上,サービス業（他に分類されないもの）,273560,-31,81.1,84.2,1.08,-0.35
30～99人,調査産業計,383159,9.3,88.4,90.2,1.23,-0.01
30～99人,"鉱業,採石業,砂利採取業",Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30～99人,建設業,510934,-36.4,85.7,93.3,1.25,-0.91
30～99人,製造業,416322,-7.5,85.7,87.6,1.11,-0.15
30～99人,電気・ガス・熱供給・水道業,756120,-32.5,75,45.8,2.13,-0.31
30～99人,情報通信業,493776,16.6,85.7,88.6,1.28,0.01
30～99人,運輸業，郵便業,451928,11.6,93.8,93.3,1.37,0.09
30～99人,卸売業，小売業,345529,62.8,90.2,89.3,1.17,0.11
30～99人,"金融業,保険業",556641,-3.2,95.2,96.9,1.69,-0.24
30～99人,不動産業，物品賃貸業,419951,12.1,80.5,75.1,1.4,0.21
30～99人,学術研究，専門・技術サービス業,327460,-18.4,86.9,93.8,1.29,0.15
30～99人,宿泊業，飲食サービス業,131797,44,84,91.4,0.5,0.1
30～99人,生活関連サービス業，娯楽業,264636,5.6,66.7,76.9,1.23,0.22
30～99人,教育，学習支援業,621376,-15.8,100,100,1.57,-0.26
30～99人,医療，福祉,318142,0.6,100,100,1.29,-0.14
30～99人,複合サービス事業,367322,11.6,100,100,1.37,0.05
30～99人,サービス業（他に分類されないもの）,317886,-27,79.8,83.3,1.17,-0.27
100～499人,調査産業計,496859,-11.6,93.6,93.1,1.44,-0.03
100～499人,"鉱業,採石業,砂利採取業",1432709,3.5,100,100,2.92,0.43
100～499人,建設業,462784,-28,100,100,1.44,-0.05
100～499人,製造業,707536,-19.9,95.4,96,1.87,0.08
100～499人,電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,情報通信業,565465,-10.1,93.2,95.3,1.47,-0.01
100～499人,運輸業，郵便業,419030,11.9,94.1,94.3,1.17,-0.01
100～499人,卸売業，小売業,499867,-2.8,96.3,95.8,1.58,0.1
100～499人,"金融業,保険業",933895,3.6,100,100,2.05,-0.07
100～499人,不動産業，物品賃貸業,551104,-4.2,93.1,95.2,1.66,0.05
100～499人,学術研究，専門・技術サービス業,780496,5.9,82.1,51.5,1.57,0.02
100～499人,宿泊業，飲食サービス業,182387,-3.2,96.2,96.8,0.69,-0.06
100～499人,生活関連サービス業，娯楽業,338063,-12.6,87.6,88.7,1.09,0
100～499人,教育，学習支援業,624293,-3.9,100,100,1.85,0.17
100～499人,医療，福祉,371727,-27.3,97.7,98.9,1.21,-0.33
100～499人,複合サービス事業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
100～499人,サービス業（他に分類されないもの）,214092,-37.7,84.2,89.3,0.83,-0.56
500人以上,調査産業計,955206,-4.2,93.3,92,2.04,-0.12
500人以上,"鉱業,採石業,砂利採取業",Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,建設業,798591,-11.3,90,90.2,1.68,-0.29
500人以上,製造業,1029824,-9.9,98,99.3,2.42,-0.21
500人以上,電気・ガス・熱供給・水道業,1085499,121.8,50,61.9,2.15,0.67
500人以上,情報通信業,1073108,2.5,91.9,76.8,2,-0.19
500人以上,運輸業，郵便業,888587,17.1,91.8,94.5,1.94,-0.27
500人以上,卸売業，小売業,1288489,-13.3,94,95,2.18,-0.29
500人以上,"金融業,保険業",1003950,-3.3,100,100,2.23,-0.05
500人以上,不動産業，物品賃貸業,947579,21.6,96.2,97.2,2.07,-0.19
500人以上,学術研究，専門・技術サービス業,1158611,-1.3,100,100,2.24,0.35
500人以上,宿泊業，飲食サービス業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
500人以上,生活関連サービス業，娯楽業,687305,69.7,100,100,1.84,0.59
500人以上,教育，学習支援業,548877,-5.6,100,100,1.68,-0.03
500人以上,医療，福祉,589532,24,100,100,1.52,0.25
500人以上,複合サービス事業,629078,-5.6,100,100,1.8,0.27
500人以上,サービス業（他に分類されないもの）,478494,-23.1,75.7,64.4,1.76,0.07
,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年夏季,,,,,,,
第21表  賞与の産業別及び規模別支給状況,,,,,,,
