規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.6,17.8,17,144.1,149.6,133.8,129.6,133.2,122.8,14.5,16.4,11
100～499人,17.5,17.9,16.7,142,151.1,126.3,127.9,133.9,117.6,14.1,17.2,8.7
100人以上,17.5,17.9,16.9,143,150.4,129.6,128.7,133.6,119.9,14.3,16.8,9.7
30～99人,17.5,17.9,16.9,139.8,151.6,122.7,128,136.4,115.8,11.8,15.2,6.9
５～29人,16.6,17.5,15.5,127.3,141.2,110.8,119.9,131.2,106.4,7.4,10,4.4
30人以上,17.5,17.9,16.9,141.8,150.8,127.1,128.4,134.5,118.4,13.4,16.3,8.7
５人以上,17.2,17.8,16.4,137.5,148.1,121.5,125.9,133.6,114.3,11.6,14.5,7.2
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
