規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.8,18.1,17,146.9,152.7,135.6,132,136.1,124.1,14.9,16.6,11.5
100～499人,17.6,18.1,16.9,143.3,151.3,130.5,130,135.8,120.7,13.3,15.5,9.8
100人以上,17.7,18.1,17,144.9,151.9,132.6,130.9,135.9,122.1,14,16,10.5
30～99人,17.1,17.9,16,135.6,147.7,117.8,124.2,133.8,110.2,11.4,13.9,7.6
５～29人,16.5,17.4,15.5,126.6,140.6,110.2,119.4,130.9,105.9,7.2,9.7,4.3
30人以上,17.5,18,16.6,141.5,150.5,126.9,128.5,135.2,117.5,13,15.3,9.4
５人以上,17.2,17.8,16.2,136.8,147.6,120.8,125.6,133.9,113.3,11.2,13.7,7.5
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２４年１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
