（輸出）,, 5-(2)外貿コンテナ貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"1,084,229",100.7%,"8,972,467",94.4%,100.0%
1,アメリカ,"302,742",110.0%,"2,307,401",111.7%,25.7%
2,中国,"249,867",85.7%,"2,251,724",84.2%,25.1%
,(香港),"40,171",101.1%,"308,166",87.0%,3.4%
3,タイ,"60,789",86.7%,"598,896",86.0%,6.7%
4,ベトナム,"60,231",162.8%,"518,841",121.7%,5.8%
5,台湾,"54,882",115.5%,"420,545",90.5%,4.7%
6,オランダ,"50,095",120.5%,"371,746",92.7%,4.1%
7,韓国,"27,433",59.1%,"330,158",87.4%,3.7%
8,マレーシア,"37,607",86.9%,"312,299",79.4%,3.5%
9,インドネシア,"45,711",114.0%,"309,864",95.5%,3.5%
10,インド,"34,782",112.3%,"276,195",108.5%,3.1%
11,ドイツ,"25,411",113.1%,"181,752",101.0%,2.0%
12,フィリピン,"21,185",99.9%,"169,143",91.3%,1.9%
13,シンガポール,"20,991",103.6%,"163,546",90.3%,1.8%
14,イギリス,"15,318",110.1%,"111,822",84.3%,1.2%
15,カナダ,"10,027",69.6%,"97,427",83.5%,1.1%
16,ロシア,"5,710",101.6%,"70,897",103.7%,0.8%
17,アラブ首長国,"6,548",120.6%,"51,363",96.3%,0.6%
18,ブラジル,"5,942",110.8%,"50,797",92.8%,0.6%
19,フランス,"5,140",94.7%,"43,197",83.5%,0.5%
20,オーストラリア,"5,393",148.3%,"37,031",97.3%,0.4%
,その他,"38,425",110.4%,"297,823",82.2%,3.3%
,,,,,,
