 4-(4)コンテナ取扱個数係留施設別表,,,,,,,,,,,,,,(単位：ＴＥＵ）
係留施設,合計,,外貿,,,,,,内貿,,,,,
,,,計,,輸出,,輸入,,計,,移出,,移入,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"290,168","115,581","268,296","102,773","69,927","102,114","198,369",659,"21,872","12,808","10,737","11,451","11,135","1,357"
,96.0%,101.7%,95.2%,109.0%,90.1%,109.4%,97.2%,70.6%,105.9%,66.2%,101.6%,65.8%,110.4%,69.9%
,"2,363,289","930,136","2,179,755","791,395","603,302","785,845","1,576,453","5,550","183,534","138,741","86,243","123,381","97,291","15,360"
,97.3%,102.9%,97.3%,108.1%,94.3%,108.6%,98.5%,67.0%,97.7%,80.7%,83.8%,78.6%,114.6%,103.2%
品川岸壁,"24,054","14,309","24,054","12,155","5,207","12,057","18,847",98,-,"2,154",-,"2,154",-,-
,95.1%,103.6%,95.1%,109.0%,87.1%,109.2%,97.6%,88.3%,-,80.9%,-,80.9%,-,-
,"191,309","125,429","190,985","105,489","40,864","104,711","150,121",778,324,"19,940",-,"19,636",324,304
,95.0%,116.5%,94.9%,118.9%,82.5%,119.7%,98.9%,62.7%,-,105.1%,-,104.9%,-,121.6%
10号西岸壁,"3,502",474,-,-,-,-,-,-,"3,502",474,"2,156",-,"1,346",474
,88.9%,62.2%,-,-,-,-,-,-,88.9%,62.2%,83.1%,-,100.2%,62.2%
,"30,760","5,807",-,-,-,-,-,-,"30,760","5,807","18,832",39,"11,928","5,768"
,99.1%,153.5%,-,-,-,-,-,-,99.1%,153.5%,96.5%,-,103.5%,152.5%
青海コンテナふ頭（公共）,"56,049","25,015","53,710","20,657","9,481","20,556","44,229",101,"2,339","4,358","1,398","4,223",941,135
,98.1%,80.8%,96.8%,83.6%,82.5%,85.4%,100.5%,16.2%,142.5%,69.8%,181.1%,72.4%,108.3%,32.7%
,"425,577","208,439","410,133","167,661","81,430","166,221","328,703","1,440","15,444","40,778","8,745","40,248","6,699",530
,96.2%,88.5%,95.5%,86.4%,89.8%,86.7%,97.0%,62.0%,122.6%,98.8%,114.4%,102.1%,135.2%,28.5%
青海コンテナふ頭(埠頭㈱),"39,180","20,975","38,720","20,468","9,822","20,436","28,898",32,460,507,374,507,86,-
,94.7%,88.6%,95.0%,89.8%,110.5%,89.7%,90.6%,91.4%,77.3%,58.8%,62.9%,58.8%,-,-
,"311,585","164,947","306,690","156,785","73,392","156,446","233,298",339,"4,895","8,162","3,659","8,162","1,236",-
,93.5%,96.5%,93.0%,104.0%,94.6%,104.4%,92.5%,39.1%,137.1%,40.5%,105.9%,40.8%,"1,065.5%",-
お台場ライナーふ頭,131,60,131,60,2,-,129,60,-,-,-,-,-,-
,92.3%,-,92.3%,-,-,-,90.8%,-,-,-,-,-,-,-
,916,320,916,320,2,-,914,320,-,-,-,-,-,-
,73.2%,780.5%,73.2%,780.5%,-,-,73.0%,780.5%,-,-,-,-,-,-
大井コンテナふ頭,"148,561","46,554","139,796","42,570","42,790","42,215","97,006",355,"8,765","3,984","2,858","3,895","5,907",89
,95.3%,124.0%,94.8%,141.9%,91.3%,141.5%,96.5%,219.1%,104.0%,52.9%,92.6%,52.8%,110.6%,57.1%
,"1,244,891","355,731","1,171,636","305,036","384,321","302,386","787,315","2,650","73,255","50,695","20,663","50,130","52,592",565
,98.2%,108.5%,98.8%,121.6%,96.3%,122.3%,100.1%,72.4%,88.7%,65.9%,54.0%,67.8%,118.8%,18.2%
その他,"18,691","8,194","11,885","6,863","2,625","6,850","9,260",13,"6,806","1,331","3,951",672,"2,855",659
,100.3%,118.8%,94.4%,122.2%,60.7%,122.0%,112.0%,"1,300.0%",112.5%,103.9%,112.2%,100.0%,112.9%,108.2%
,"158,251","69,463","99,395","56,104","23,293","56,081","76,102",23,"58,856","13,359","34,344","5,166","24,512","8,193"
,105.0%,119.3%,107.3%,118.2%,101.9%,118.5%,109.0%,15.1%,101.4%,123.9%,100.9%,102.5%,102.1%,142.8%
,,,,,,,,,,,,,,
(注) 上段： 当月，　下段： １月以降累計，　各下段： 対前年比％,,,,,,,,,,,,,,
｡� 1-(3)海上出入貨物の主要品種別表,,,,,,,,（単位：トン）
,,品目,当月,,,１月以降累計,,
,,,当年,対前年比,前年,当年,対前年比,前年
外貿貨物,輸出,合計,"1,097,249",96.5%,"1,137,416","9,354,036",94.4%,"9,907,070"
,,その他化学工業品,"160,677",103.3%,"155,481","1,337,895",100.1%,"1,336,714"
,,産業機械,"157,101",96.5%,"162,878","1,361,253",93.9%,"1,449,446"
,,自動車部品,"155,832",92.1%,"169,112","1,182,256",101.9%,"1,159,962"
,,再利用資材,"153,377",93.8%,"163,537","1,354,777",80.9%,"1,675,243"
,,電気機械,"65,083",100.6%,"64,706","515,701",92.8%,"555,953"
,,ゴム製品,"38,652",146.1%,"26,463","287,393",108.3%,"265,366"
,,その他製造工業品,"29,885",129.8%,"23,028","216,084",113.2%,"190,959"
,,化学薬品,"27,794",106.8%,"26,024","221,706",102.9%,"215,433"
,輸入,合計,"3,052,964",99.0%,"3,082,706","26,886,901",99.5%,"27,018,704"
,,衣服・身廻品・はきもの,"473,756",93.9%,"504,328","3,445,681",100.8%,"3,419,693"
,,電気機械,"254,657",97.3%,"261,706","2,446,271",104.3%,"2,346,113"
,,製造食品,"214,746",99.4%,"216,089","1,878,888",100.2%,"1,874,237"
,,その他化学工業品,"187,087",95.4%,"196,031","1,726,151",99.6%,"1,732,476"
,,家具装備品,"155,433",95.9%,"162,138","1,518,392",100.4%,"1,511,671"
,,その他畜産品,"152,018",113.0%,"134,578","1,261,498",102.0%,"1,237,027"
,,野菜・果物,"131,154",90.1%,"145,642","1,344,749",92.0%,"1,461,661"
,,産業機械,"118,888",94.8%,"125,407","1,144,372",99.1%,"1,154,379"
内貿貨物,移出,合計,"1,227,506",98.5%,"1,246,077","11,306,055",95.9%,"11,789,333"
,,完成自動車,"612,559",93.4%,"655,820","5,913,594",99.2%,"5,959,101"
,,取合せ品,"230,772",99.1%,"232,857","2,320,678",103.6%,"2,240,957"
,,廃土砂,"103,923",91.0%,"114,154","834,104",66.0%,"1,262,859"
,,鋼材,"30,002",3286.1%,913,"43,899",459.1%,"9,562"
,,重油,"20,861",92.9%,"22,446","174,146",98.7%,"176,497"
,,その他日用品,"20,205",128.9%,"15,671","171,037",113.7%,"150,487"
,,飲料,"16,798",78.4%,"21,417","199,140",89.3%,"223,006"
,,再利用資材,"14,599",98.9%,"14,757","176,587",74.4%,"237,352"
,移入,合計,"1,870,113",91.3%,"2,048,344","18,380,617",96.2%,"19,103,901"
,,完成自動車,"456,368",92.2%,"494,986","4,490,884",100.1%,"4,484,454"
,,その他の石油,"363,556",103.3%,"351,914","3,331,934",101.3%,"3,289,825"
,,砂利・砂,"248,670",75.7%,"328,626","2,855,206",89.2%,"3,201,454"
,,セメント,"190,228",82.7%,"230,018","1,808,276",88.6%,"2,041,564"
,,取合せ品,"175,097",95.7%,"183,040","1,710,307",100.3%,"1,705,289"
,,鋼材,"93,257",141.8%,"65,757","822,054",99.3%,"827,922"
,,紙・パ　ル　プ,"80,015",69.7%,"114,791","969,509",90.4%,"1,072,496"
,,石材,"52,813",61.7%,"85,663","640,317",81.4%,"786,466"
,（注）,その他化学工業品は、染料・塗料・合成樹脂・その他化学工業品の略,,,,,,
,,文房具・運動娯楽用品は、文房具・運動娯楽用品・楽器の略,,,,,,
,,木製品は、木製品（他に分類されないもの）の略,,,,,,
3,821,027","985,054","2,835,973","3,211,509","1,260,752","1,950,757"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
１１月　,-,-,-,-,-,-,-,-,-,-,"7,418,059","4,162,290","1,075,481","3,086,809","3,993,999","1,024,900","2,969,099","3,255,769","1,259,624","1,996,145"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
１２月　,-,-,-,-,-,-,-,-,-,-,"7,258,417","4,101,623","1,233,963","2,867,660","3,960,971","1,172,632","2,788,339","3,156,794","1,226,433","1,930,361"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
累計,"33,510,695","19,464,927","4,981,892","14,483,035","18,708,129","4,738,030","13,970,099","14,045,768","5,813,544","8,232,224","87,806,264","48,494,019","12,734,557","35,759,462","46,663,348","12,154,980","34,508,368","39,312,245","15,054,365","24,257,880"
,92.4%,99.0%,99.3%,98.9%,99.0%,98.5%,99.1%,84.6%,94.1%,78.9%,,,,,,,,,,
前年累計,"36,262,819","19,655,885","5,018,659","14,637,226","18,898,030","4,807,966","14,090,064","16,606,934","6,175,194","10,431,740",,,,,,,,,,
増(－)減,"-2,752,124","-190,958","-36,767","-154,191","-189,901","-69,936","-119,965","-2,561,166","-361,650","-2,199,516",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
（注）下段：前年同月比％,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
