（輸入）,, 5-(2)外貿コンテナ貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"2,916,132",97.0%,"25,913,747",99.7%,100.0%
1,中国,"1,239,164",90.2%,"11,111,595",98.7%,42.9%
,(香港),"133,038",95.4%,"1,212,700",84.4%,4.7%
2,アメリカ,"310,229",95.4%,"2,952,273",93.7%,11.4%
3,タイ,"186,098",94.5%,"1,719,478",96.3%,6.6%
4,ベトナム,"200,615",114.3%,"1,626,640",111.6%,6.3%
5,台湾,"136,766",120.0%,"1,204,784",112.5%,4.6%
6,韓国,"103,553",88.9%,"1,002,590",98.4%,3.9%
7,カナダ,"97,172",96.9%,"911,146",96.6%,3.5%
8,シンガポール,"130,793",131.0%,"896,471",110.3%,3.5%
9,マレーシア,"85,296",118.0%,"755,532",110.4%,2.9%
10,インドネシア,"77,099",102.2%,"669,954",102.9%,2.6%
11,フィリピン,"41,853",72.5%,"419,842",85.1%,1.6%
12,ドイツ,"52,649",121.8%,"416,489",99.3%,1.6%
13,オランダ,"40,825",107.5%,"359,671",93.6%,1.4%
14,フランス,"31,779",112.4%,"248,052",103.1%,1.0%
15,チリ,"23,676",124.2%,"223,282",78.3%,0.9%
16,ニュージーランド,"14,570",79.3%,"174,749",95.2%,0.7%
17,イタリア,"19,659",85.6%,"136,284",106.8%,0.5%
18,イギリス,"15,401",113.3%,"125,741",102.2%,0.5%
19,メキシコ,"10,029",69.7%,"103,953",70.3%,0.4%
20,ブラジル,"14,607",166.5%,"101,442",142.0%,0.4%
,その他,"84,299",92.4%,"753,779",108.0%,2.9%
10,インド�149,918","7,530,622","589,488","612,230","643,417","633,251","621,670","646,201","648,212","561,281","631,160","652,667","637,803","653,242"
,（搬出）,"210,402","7,470,138","533,639","612,354","640,036","635,263","621,678","645,952","650,553","561,194","630,638","646,769","643,328","648,734"
大井建材,（搬入）,"21,287","1,054,696","108,612","112,747","125,011","81,198","66,504","82,944","79,328","70,726","73,585","78,213","86,929","88,899"
,（搬出）,"24,194","1,051,789","107,107","109,642","124,413","78,247","80,381","77,766","79,678","70,365","70,956","83,933","82,384","86,917"
若洲建材,（搬入）,"67,939","429,990","32,237","38,149","38,830","36,142","28,511","16,716","23,458","25,345","41,058","43,662","56,666","49,216"
,（搬出）,"72,122","425,807","29,270","35,819","41,769","40,156","26,019","22,842","20,289","24,901","40,430","48,977","51,504","43,831"
辰巳,（搬入）,"32,812","211,229","17,662","17,066","17,486","17,595","14,596","16,575","20,587","15,239","16,254","20,548","20,494","17,128"
,（搬出）,"24,261","219,780","22,474","12,669","24,179","16,982","17,549","15,354","19,924","16,806","19,551","17,944","20,542","15,807"
29,270","3,-,-,-,21,砂利・砂,,,,,
22,石材,"3,268",940,940,-,-,940,-,-,-,-,-,-,-,-,-,-,-,-,22,石材,,,,,
23,原油,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,原油,,,,,
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,りん鉱石,,,,,
25,石灰石,"1,100",980,980,-,-,980,-,-,-,-,-,-,-,-,-,-,-,-,25,石灰石,,,,,
26,原塩,102,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,原塩,,,,,
27,非金属鉱物,"14,689","1,105","1,105",-,-,"1,105","3,245",-,-,-,-,-,-,-,-,-,"3,245","1,045",27,非金属鉱物,,,,,
金属機械工業品,,"8,516,137","438,265","438,265",-,"41,550","396,715","95,194","2,303","2,303",-,"1,208","1,134",74,"91,683",-,"91,683",-,-,金属機械工業品,,,,,,
28,鉄鋼,916,185,185,-,-,185,-,-,-,-,-,-,-,-,-,-,-,-,28,鉄鋼,,,,,
29,鋼材,"13,661","2,595","2,595",-,-,"2,595",-,-,-,-,-,-,-,-,-,-,-,-,29,鋼材,,,,,
30,非鉄金属,"7,260",10,10,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,30,非鉄金属,,,,,
31,金属製品,"54,556","10,915","10,915",-,-,"10,915",-,-,-,-,-,-,-,-,-,-,-,-,31,金属製品,,,,,
32,鉄道車両,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,鉄道車両,,,,,
33,完成自動車,"7,994,898","395,096","395,096",-,"35,200","359,896","80,460",-,-,-,-,-,-,"80,460",-,"80,460",-,-,33,完成自動車,,,,,
34,その他輸送用車両,"15,472",206,206,-,-,206,-,-,-,-,-,-,-,-,-,-,-,-,34,その他輸送用車両,,,,,
35,二輪自動車,498,5,5,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,35,二輪自動車,,,,,
36,自動車部品,"29,904","8,868","8,868",-,-,"8,868",165,-,-,-,-,-,-,165,-,165,-,-,36,自動車部品,,,,,
37,その他輸送機械,"92,292","10,840","10,840",-,"6,350","4,490","2,510",-,-,-,-,-,-,"2,510",-,"2,510",-,-,37,その他輸送機械,,,,,
38,産業機械,"177,097","3,010","3,010",-,-,"3,010",122,-,-,-,74,-,74,48,-,48,-,-,38,産業機械,,,,,
39,電気機械,"43,068","3,310","3,310",-,-,"3,310","8,382","1,625","1,625",-,830,830,-,"5,927",-,"5,927",-,-,39,電気機械,,,,,
40,測量・光学・医療用機械,"14,791",55,55,-,-,55,"3,555",678,678,-,304,304,-,"2,573",-,"2,573",-,-,40,測量・光学・医療用機械,,,,,
41,事務用機器,"60,679","1,805","1,805",-,-,"1,805",-,-,-,-,-,-,-,-,-,-,-,-,41,事務用機器,,,,,
42,その他機械,"11,030","1,365","1,365",-,-,"1,365",-,-,-,-,-,-,-,-,-,-,-,-,42,その他機械,,,,,
化学工業品,,"521,196","67,496","67,496",-,-,"67,496","1,736",172,172,-,40,40,-,"1,524",-,"1,524",-,-,化学工業品,,,,,,
43,陶磁器,653,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43,陶磁器,,,,,
44,セメント,"29,612",950,950,-,-,950,-,-,-,-,-,-,-,-,-,-,-,-,44,セメント,,,,,
45,ガラス類,"16,865","12,215","12,215",-,-,"12,215",60,-,-,-,-,-,-,60,-,60,-,-,45,ガラス類,,,,,
46,窯業品,"31,128",940,940,-,-,940,48,-,-,-,-,-,-,48,-,48,-,-,46,窯業品,,,,,
47,重油,"242,732",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,重油,,,,,
48,揮発油,823,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,揮発油,,,,,
49,その他の石油,"20,444","9,690","9,690",-,-,"9,690",-,-,-,-,-,-,-,-,-,-,-,-,49,その他の石油,,,,,
50,LNG/液化天然ガス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,LNG/液化天然ガス,,,,,
51,LPG/液化石油ガス,"6,734",45,45,-,-,45,-,-,-,-,-,-,-,-,-,-,-,-,51,LPG/液化石油ガス,,,,,
52,その他石油製品,"7,606","2,275","2,275",-,-,"2,275",-,-,-,-,-,-,-,-,-,-,-,-,52,その他石油製品,,,,,
53,コークス,"7,969",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,コークス,,,,,
54,石炭製品,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,石炭製品,,,,,
55,化学薬品,"47,475","35,926","35,926",-,-,"35,926",-,-,-,-,-,-,-,-,-,-,-,-,55,化学薬品,,,,,
56,化学肥料,"3,882","1,755","1,755",-,-,"1,755",-,-,-,-,-,-,-,-,-,-,-,-,56,化学肥料,,,,,
57,その他化学工業品,"105,258","3,700","3,700",-,-,"3,700","1,628",172,172,-,40,40,-,"1,416",-,"1,416",-,-,57,その他化学工業品,,,,,
軽工業品,,"848,309","248,958","248,958",-,-,"248,958","9,842",604,604,-,"1,214","1,214",-,"8,024",-,"8,024",-,-,軽工業品,,,,,,
58,紙・パルプ,"231,237","100,368","100,368",-,-,"100,368",-,-,-,-,-,-,-,-,-,-,-,-,58,紙・パルプ,,,,,
