 2-(4)入港船舶係留施設別表,,,,,,,,,,,,単位：隻、総トン
係留施設,合計,,,,外航船,,,,内航船,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,862 ","15,124,712 ","17,626 ","135,429,310 ",438 ,"11,397,149 ","3,926 ","101,022,266 ","1,424 ","3,727,563 ","13,700 ","34,407,044 "
公共計,938 ,"5,364,191 ","8,809 ","49,666,095 ",168 ,"2,440,047 ","1,557 ","23,079,591 ",770 ,"2,924,144 ","7,252 ","26,586,504 "
ドルフィン,4 ,"2,484 ",40 ,"25,878 ",-,-,-,-,4 ,"2,484 ",40 ,"25,878 "
芝浦ふ頭,31 ,"88,133 ",279 ,"714,664 ",-,-,-,-,31 ,"88,133 ",279 ,"714,664 "
芝浦物揚場,28 ,"12,406 ",222 ,"101,306 ",-,-,-,-,28 ,"12,406 ",222 ,"101,306 "
日の出ふ頭,8 ,"5,496 ",65 ,"48,651 ",-,-,-,-,8 ,"5,496 ",65 ,"48,651 "
竹芝ふ頭,177 ,"393,983 ","1,529 ","3,278,305 ",-,-,-,-,177 ,"393,983 ","1,529 ","3,278,305 "
品川岸壁,138 ,"1,509,033 ","1,285 ","13,922,426 ",72 ,"727,827 ",663 ,"6,680,092 ",66 ,"781,206 ",622 ,"7,242,334 "
 品川コンテナ,74 ,"679,069 ",688 ,"6,338,122 ",68 ,"673,099 ",634 ,"6,285,176 ",6 ,"5,970 ",54 ,"52,946 "
 品川外貿,4 ,"54,728 ",29 ,"394,916 ",4 ,"54,728 ",29 ,"394,916 ",-,-,-,-
 品川内貿,60 ,"775,236 ",568 ,"7,189,388 ",-,-,-,-,60 ,"775,236 ",568 ,"7,189,388 "
晴海ふ頭,6 ,"150,006 ",70 ,"1,250,514 ",4 ,"149,206 ",28 ,"1,097,725 ",2 ,800 ,42 ,"152,789 "
月島ふ頭,3 ,839 ,31 ,"10,647 ",-,-,-,-,3 ,839 ,31 ,"10,647 "
漁業基地,1 ,986 ,21 ,"34,008 ",-,-,1 ,"1,211 ",1 ,986 ,20 ,"32,797 "
10号西岸壁,63 ,"700,352 ",623 ,"6,794,761 ",-,-,-,-,63 ,"700,352 ",623 ,"6,794,761 "
10号東岸壁,29 ,"12,113 ",274 ,"120,804 ",-,-,-,-,29 ,"12,113 ",274 ,"120,804 "
東京港フェリーふ頭,30 ,"379,080 ",260 ,"3,285,360 ",-,-,-,-,30 ,"379,080 ",260 ,"3,285,360 "
多目的ふ頭,1 ,"5,747 ",20 ,"51,716 ",-,-,1 ,"1,920 ",1 ,"5,747 ",19 ,"49,796 "
辰巳ふ頭,73 ,"24,884 ",726 ,"256,496 ",-,-,-,-,73 ,"24,884 ",726 ,"256,496 "
青海コンテナふ頭（公共）,127 ,"1,480,390 ","1,183 ","13,760,775 ",83 ,"1,430,694 ",763 ,"13,384,100 ",44 ,"49,696 ",420 ,"376,675 "
有明ふ頭,3 ,"1,533 ",52 ,"41,170 ",-,-,-,-,3 ,"1,533 ",52 ,"41,170 "
大井水産物ふ頭,-,-,5 ,"418,561 ",-,-,5 ,"418,561 ",-,-,-,-
大井食品ふ頭（OL）,24 ,"44,231 ",174 ,"576,980 ",2 ,"40,267 ",25 ,"553,461 ",22 ,"3,964 ",149 ,"23,519 "
大井食品ふ頭（OM）,5 ,"44,876 ",43 ,"389,338 ",5 ,"44,876 ",43 ,"389,338 ",-,-,-,-
大井食品ふ頭（ON）,-,-,6 ,"59,126 ",-,-,5 ,"58,924 ",-,-,1 ,202 
若洲内貿ふ頭,10 ,"100,340 ",105 ,"1,053,570 ",-,-,-,-,10 ,"100,340 ",105 ,"1,053,570 "
15号地木材ふ頭,-,-,38 ,"237,550 ",-,-,7 ,"231,032 ",-,-,31 ,"6,518 "
若洲建材ふ頭,36 ,"20,518 ",361 ,"206,518 ",-,-,-,-,36 ,"20,518 ",361 ,"206,518 "
大井建材ふ頭,61 ,"35,959 ",704 ,"407,338 ",-,-,-,-,61 ,"35,959 ",704 ,"407,338 "
城南島建設発生土ふ頭,37 ,"26,673 ",364 ,"244,965 ",-,-,-,-,37 ,"26,673 ",364 ,"244,965 "
中央防波堤内側ばら物ふ頭,5 ,"76,142 ",46 ,"307,541 ",2 ,"47,177 ",16 ,"263,227 ",3 ,"28,965 ",30 ,"44,314 "
中央防波堤内側建設発生土ふ頭,8 ,"11,365 ",34 ,"47,954 ",-,-,-,-,8 ,"11,365 ",34 ,"47,954 "
中央防波堤内側内貿ふ頭,22 ,"232,740 ",185 ,"1,958,199 ",-,-,-,-,22 ,"232,740 ",185 ,"1,958,199 "
官公庁（晴海）,-,-,13 ,"30,345 ",-,-,-,-,-,-,13 ,"30,345 "
官公庁（月島）,7 ,"1,385 ",42 ,"8,156 ",-,-,-,-,7 ,"1,385 ",42 ,"8,156 "
官公庁（有明）,1 ,"2,497 ",9 ,"22,473 ",-,-,-,-,1 ,"2,497 ",9 ,"22,473 "
東京港埠頭㈱計,381 ,"8,892,454 ","3,354 ","77,337,836 ",246 ,"8,692,941 ","2,144 ","75,376,848 ",135 ,"199,513 ","1,210 ","1,960,988 "
青海コンテナふ頭(埠頭㈱),81 ,"2,119,492 ",680 ,"17,373,503 ",70 ,"2,106,392 ",574 ,"17,269,361 ",11 ,"13,100 ",106 ,"104,142 "
お台場ライナーふ頭,33 ,"240,713 ",311 ,"2,190,591 ",8 ,"162,334 ",100 ,"1,489,517 ",25 ,"78,379 ",211 ,"701,074 "
大井コンテナふ頭,267 ,"6,532,249 ","2,363 ","57,773,742 ",168 ,"6,424,215 ","1,470 ","56,617,970 ",99 ,"108,034 ",893 ,"1,155,772 "
民間計,543 ,"868,067 ","5,463 ","8,425,379 ",24 ,"264,161 ",225 ,"2,565,827 ",519 ,"603,906 ","5,238 ","5,859,552 "
(注) 実績の無いけい留施設は表示なし,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
