（輸出）,, 5-(1)外貿貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"1,097,249",96.5%,"9,354,036",94.4%,100.0%
1,アメリカ,"302,742",110.0%,"2,307,401",111.7%,24.7%
2,中国,"249,869",83.2%,"2,257,566",83.5%,24.1%
,(香港),"40,171",101.1%,"308,166",85.7%,3.3%
3,ベトナム,"70,231",104.8%,"703,324",118.5%,7.5%
4,タイ,"60,789",86.7%,"598,896",84.8%,6.4%
5,韓国,"30,084",44.2%,"495,273",97.1%,5.3%
6,台湾,"54,882",115.5%,"441,107",85.4%,4.7%
7,オランダ,"50,095",120.5%,"371,746",92.7%,4.0%
8,マレーシア,"37,607",86.9%,"312,299",79.4%,3.3%
9,インドネシア,"45,711",114.0%,"309,864",95.5%,3.3%
10,インド,"34,782",112.3%,"276,195",108.5%,3.0%
11,ドイツ,"25,411",113.1%,"181,752",101.0%,1.9%
12,フィリピン,"21,552",98.0%,"174,660",89.2%,1.9%
13,シンガポール,"20,991",103.6%,"163,546",90.3%,1.7%
14,イギリス,"15,318",110.1%,"111,822",84.3%,1.2%
15,カナダ,"10,027",69.6%,"97,427",83.5%,1.0%
16,ロシア,"5,710",101.6%,"70,897",102.2%,0.8%
17,アラブ首長国,"6,548",120.6%,"51,363",96.3%,0.5%
18,ブラジル,"5,942",110.8%,"50,797",92.8%,0.5%
19,フランス,"5,140",94.7%,"43,197",83.5%,0.5%
20,オーストラリア,"5,393",148.3%,"37,031",97.3%,0.4%
,その他,"38,425",110.4%,"297,873",82.2%,3.2%
,,,,,,
,,,,,,,,,8","26,108",15,"16,068",-,"107,997","108,471","2,341","64,410","18,270",15,"23,435",-,"104,973",実入,,,,,,,,,,,
空,"44,320","8,017","7,680","12,827",-,"15,796",-,"53,037","18,597",-,-,"4,436",-,"14,161",-,"32,758","25,723","8,017","7,680","8,391",-,"1,635",-,"20,279",空,,,,,,,,,,,
北海道,"103,394",-,"90,262","8,034",30,"5,068",-,"72,364","52,963",-,"45,737","4,193",15,"3,018",-,"37,691","50,431",-,"44,525","3,841",15,"2,050",-,"34,673",北海道,,,,,,,,,,,
実入,"101,830",-,"90,262","7,521",30,"4,017",-,"69,749","52,247",-,"45,737","3,830",15,"2,665",-,"36,622","49,583",-,"44,525","3,691",15,"1,352",-,"33,127",実入,,,,,,,,,,,
空,"1,564",-,-,513,-,"1,051",-,"2,615",716,-,-,363,-,353,-,"1,069",848,-,-,150,-,698,-,"1,546",空,,,,,,,,,,,
東北,"33,368",-,-,"8,278",-,"25,090",-,"58,458","19,140",-,-,"4,983",-,"14,157",-,"33,297","14,228",-,-,"3,295",-,"10,933",-,"25,161",東北,,,,,,,,,,,
実入,"25,352",-,-,"5,064",-,"20,288",-,"45,640","12,407",-,-,"2,638",-,"9,769",-,"22,176","12,945",-,-,"2,426",-,"10,519",-,"23,464",実入,,,,,,,,,,,
空,"8,016",-,-,"3,214",-,"4,802",-,"12,818","6,733",-,-,"2,345",-,"4,388",-,"11,121","1,283",-,-,869,-,414,-,"1,697",空,,,,,,,,,,,
関東,"1,703",-,-,676,-,"1,027",-,"2,730","1,314",-,-,589,-,725,-,"2,039",389,-,-,87,-,302,-,691,関東,,,,,,,,,,,
実入,"1,267",-,-,529,-,738,-,"2,005","1,028",-,-,461,-,567,-,"1,595",239,-,-,68,-,171,-,410,実入,,,,,,,,,,,
空,436,-,-,147,-,289,-,725,286,-,-,128,-,158,-,444,150,-,-,19,-,131,-,281,空,,,,,,,,,,,
