"年月[西暦]","調査項目","設問","政策目標","調査回答者の属性種別","調査回答者の属性","調査数[人]","強くそう思う[人]","どちらかといえばそう思う[人]","あまりそう思わない[人]","全くそう思わない[人]","無回答[人]"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(18)子育て家庭に対する支援が充実している","全体",,"658","64","250","250","45","49"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(18)子育て家庭に対する支援が充実している","性・年代別","男性（計）","248","27","91","92","21","17"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(18)子育て家庭に対する支援が充実している","性・年代別","男性 18～29歳","23","3","8","8","4","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(18)子育て家庭に対する支援が充実している","性・年代別","男性 30～39歳","35","7","17","8","3","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(18)子育て家庭に対する支援が充実している","性・年代別","男性 40～49歳","41","9","19","9","4","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(18)子育て家庭に対する支援が充実している","性・年代別","男性 50～59歳","49","4","19","20","2","4"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(18)子育て家庭に対する支援が充実している","性・年代別","男性 60～69歳","39","3","14","19","2","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(18)子育て家庭に対する支援が充実している","性・年代別","男性 70歳以上","60","1","13","28","6","12"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(18)子育て家庭に対する支援が充実している","性・年代別","男性 無回答","1","0","1","0","0","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(18)子育て家庭に対する支援が充実している","性・年代別","女性（計）","400","37","156","153","23","31"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(18)子育て家庭に対する支援が充実している","性・年代別","女性 18～29歳","28","3","9","12","3","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(18)子育て家庭に対する支援が充実している","性・年代別","女性 30～39歳","65","10","23","26","5","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(18)子育て家庭に対する支援が充実している","性・年代別","女性 40～49歳","95","12","42","31","7","3"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(18)子育て家庭に対する支援が充実している","性・年代別","女性 50～59歳","82","7","35","32","4","4"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(18)子育て家庭に対する支援が充実している","性・年代別","女性 60～69歳","55","2","22","21","3","7"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(18)子育て家庭に対する支援が充実している","性・年代別","女性 70歳以上","75","3","25","31","1","15"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(18)子育て家庭に対する支援が充実している","性・年代別","女性 無回答","0","0","0","0","0","0"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(18)子育て家庭に対する支援が充実している","性・年代別","無回答","10","0","3","5","1","1"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(18)子育て家庭に対する支援が充実している","職業別","自営業主・家族従業","92","4","34","39","6","9"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(18)子育て家庭に対する支援が充実している","職業別","会社員・団体職員・公務員","280","34","106","105","22","13"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(18)子育て家庭に対する支援が充実している","職業別","アルバイト・パートタイマー","58","4","30","18","4","2"
"202003","区基本計画","Q14. 次のことについて、あなたは港区の状況をどのように思いますか。（○はそれぞれ１つずつ）","政策目標(18)子育て家庭に対する支援が充実している","職業別","家事専業","94","10","35","37","4","8"
