規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,506603,473950,435220,38730,32653,158965,157233,149082,8151,1732
100～499人,471123,431834,397183,34651,39289,143574,140546,134754,5792,3028
100人以上,489269,453373,416636,36737,35896,150171,147699,140896,6803,2472
30～99人,399888,388182,363550,24632,11706,118087,116674,113900,2774,1413
５～29人,379944,359484,340953,18531,20460,96386,95485,93180,2305,901
30人以上,463877,434853,401555,33298,29024,136569,134546,129451,5095,2023
５人以上,445831,418648,388525,30123,27183,117751,116253,112465,3788,1498
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和６年１月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
