産業,１人平均支給額（円）,前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,前年支給月数差（か月）
調査産業計,694719,6.9,75.8,82,1.5,-0.01
鉱業，採石業，砂利採取業,1661639,31.2,100,100,2.1,0.4
建設業,688199,-28.1,95.4,98,1.76,-0.23
製造業,836755,1.3,85.5,84.8,1.65,0.16
電気・ガス・熱供給・水道業,1078741,10.4,77.5,75.2,2.36,0.22
情報通信業,778459,3.5,74.8,83,1.86,0.04
運輸業，郵便業,632299,26.5,83.3,86.6,1.49,0.29
卸売業，小売業,866064,0.7,65.9,78.4,1.62,-0.1
"金融業,保険業",912293,-3.9,77.8,84.6,2.04,-0.08
不動産業，物品賃貸業,910881,5.1,74.6,88.4,1.79,-0.2
学術研究，専門・技術サービス業,692236,3,76.8,81.6,1.55,0.09
宿泊業，飲食サービス業,168526,-6.2,63.3,65.1,0.54,0.02
生活関連サービス業，娯楽業,295750,-24,88.2,82.3,0.77,-0.31
教育，学習支援業,698299,-0.4,92.8,92.6,1.78,-0.15
医療，福祉,491791,9.2,64.8,62.3,1.3,-0.02
複合サービス事業,579869,2.9,97.1,95.6,1.98,0.16
サービス業（他に分類されないもの）,408581,67.7,78.1,81.8,1.29,0.2
,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）令和５年冬季,,,,,,
第21表  賞与の産業別支給状況（事業所規模30人以上）,,,,,,
注１）「１人平均支給額」は、賞与を支給した事業所における常用労働者１人当たりの平均賞与支給額です。,,,,,,
　２）「支給事業所数割合」は、賞与を支給した事業所数を全事業所数で除した値です。,,,,,,
　３）「支給労働者数割合」は、賞与を支給した事業所の全常用労働者数を全事業所の全常用労働者数で除した値です。,,,,,,
　４）「平均支給月数」は、賞与を支給した各事業所における賞与の所定内給与に対する割合を単純平均したものです。,,,,,,
